journal,year,title,authors,abstract,url
AEJ: Economic Policy,2026,Attracting and Retaining Highly Effective Educators in Hard-to-Staff Schools,"Andrew Morgan, Minh Nguyen, Eric Hanushek, Ben Ost and Steven Rivkin","Attracting and retaining effective teachers in high-poverty schools remains a persistent challenge. We evaluate the impact of an initiative that offered substantial performance-based compensation to highly effective teachers in the lowest-achieving schools. We find that the program led to dramatic improvements in achievement, nearly closing the gap between the targeted schools and the district average. When the program was later reversed for some campuses, effective teachers departed at high rates, resulting in an immediate decline in student achievement. The results underscore the potential for effectiveness-based compensating differentials to attract and retain effective teachers in disadvantaged schools.",https://www.aeaweb.org/doi/10.1257/pol.20240356
AEJ: Economic Policy,2026,"Rainfall Inequality, Political Power, and Ethnic Conflict in Africa",Andrea Guariso and Thorsten Rogall,"How are ethnic inequality and ethnic violence related? We empirically investigate this question using an innovative measure of resource inequality between ethnic groups, based on rainfall in ethnic homelands during the plant-growing season. Our main dataset covers the period 1950–2020 and includes 250 ethnicities located across 43 African countries. Our results indicate that rainfall-based inequality is a strong predictor of ethnic violence and that the link heavily depends on the power relations across ethnic groups. In terms of mechanisms, our results suggest that resource inequality leads to more ethnic conflicts by exacerbating grievances.",https://www.aeaweb.org/doi/10.1257/pol.20210174
AEJ: Economic Policy,2026,The Welfare Effects of Eligibility Expansions: Theory and Evidence from SNAP,Jenna Anders and Charlie Rafkin,"We study how eligibility expansions in the US Supplemental Nutrition Assistance Program (SNAP) affect take-up among previously eligible households and social welfare. Using an event study with administrative take-up data, we document a ""woodwork effect"": Expanding eligibility raises take-up among previously eligible households. An online experiment and administrative survey provide evidence that information frictions, rather than stigma, drive SNAP's woodwork effect. To interpret our findings, we develop a model of welfare programs with incomplete take-up and woodwork effects. Given our empirical results and certain modeling assumptions, expanding SNAP eligibility would raise social welfare.",https://www.aeaweb.org/doi/10.1257/pol.20220738
AEJ: Economic Policy,2026,When the Effects of Informational Interventions Are Driven by Salience—Evidence from School Parents in Brazil,"Guilherme Lichand, Nina Cunha, Ricardo A. Madeira and Eric Bettinger","Do informational interventions work because they lead subjects to merely update beliefs in the right direction or, to a large extent, because they increase the salience of the decision they target? We randomly assign parents to either an information group that receives text messages with weekly data on their child's attendance and school effort or a salience group that receives messages that try to redirect their attention without child-specific information. While information has large impacts on attendance, test scores, and grade promotion relative to the control group, outcomes in the salience group improve by at least as much.",https://www.aeaweb.org/doi/10.1257/pol.20220777
AEJ: Economic Policy,2026,"Hurricanes, Climate Change Policies, and Electoral Accountability","Stefano Gagliarducci, M. Daniele Paserman and Eleonora Patacchini","This paper studies the conditions under which legislators promote policies that may be unpopular in the short term but yield long-term benefits. Using data on the universe of federal disaster declarations from 1989 to 2020, we document that representatives from congressional districts impacted by hurricanes are more inclined to support environmental legislation addressing climate change. However, this response depends on political circumstances: Only those in safe seats can change their political agenda toward policies that involve short-term costs for long-term gains. These results highlight the role of electoral incentives in shaping politicians' attitudes toward farsighted policymaking.",https://www.aeaweb.org/doi/10.1257/pol.20230070
AEJ: Economic Policy,2026,The Value of School Social Climate Information: Evidence from Chicago Housing Transactions,Rene A. Crespin,"Educational institutions increasingly measure and publish indicators of social climate. I exploit a plausibly exogenous shock of Chicago school information to examine how social climate information is capitalized into housing markets and affects homebuyer sorting. Using border discontinuities, event studies, and difference-in-differences designs, I find public disclosure raises prices for homes assigned to schools with better climate ratings, with suggestive evidence that higher-income families sort into these homes. A second, less publicized disclosure produced weaker price capitalization but significant responses among higher-income households, suggesting differences in access to information. The findings provide revealed-preference evidence that families value school climate quality.",https://www.aeaweb.org/doi/10.1257/pol.20230136
AEJ: Economic Policy,2026,"Collective Bargaining Rights, Policing, and Civilian Deaths",Jamein P. Cunningham and Rob Gillezeau,"Using an event-study design, we examine whether states' introduction of duty-to-bargain requirements for police unions led to meaningful changes in civilians killed by law enforcement. We find that the introduction of collective bargaining rights significantly increases the number of civilians killed by police, particularly among non-White civilians, while having limited effects on officer safety. Our results indicate that the adoption of bargaining rights for law enforcement can explain 14 percent of all non-White civilian deaths by legal intervention between 1959 and 1988. Given our findings, the idea that police unions exacerbate violence is empirically grounded.",https://www.aeaweb.org/doi/10.1257/pol.20230384
AEJ: Economic Policy,2026,Estimating the Economic Value of Zoning Reform,"Santosh Anagol, Fernando Ferreira and Jonah Rexer","We estimate the economic value of zoning reform in São Paulo, which altered maximum permitted construction along transportation corridors. Developers increased filings for multifamily construction in blocks affected by the reform, leading to more housing supply and lower housing prices in neighborhoods that allow more densification. Our equilibrium model of housing markets estimates an aggregate 1.6 percent increase in housing stock and a 0.4 percent reduction in prices, resulting in large housing wealth transfers from current to future homeowners. The reform produced welfare gains of 0.65 percent of city GDP, mostly due to developer profits and consumer gains from the newly built environment.",https://www.aeaweb.org/doi/10.1257/pol.20230542
AEJ: Economic Policy,2026,Flood Risk Mapping and the Distributional Impacts of Climate Information,Joakim A. Weill,"This paper examines the provision of official flood risk information in the United States and its distributional impacts on residential flood insurance take-up. Assembling all flood maps produced after Hurricane Katrina, I document that updated maps decreased the number of properties zoned in high-risk floodplains and incorrectly omitted five million properties, primarily in neighborhoods with more Black and Hispanic residents. Leveraging the staggered timing of map updates, I estimate that updated maps decreased flood insurance take-up and exacerbated racial disparities in insurance coverage. While past map updates distorted risk and price signals, correcting flood maps would yield substantial welfare gains.",https://www.aeaweb.org/doi/10.1257/pol.20230552
AEJ: Economic Policy,2026,The Option Value of Municipal Liquidity,"Andrew Haughwout, Benjamin Hyman and Or Shachar","States and localities are relied upon to implement macroeconomic stabilization policies and ensure service delivery in times of crisis. In April 2020, the introduction of the Municipal Liquidity Facility (MLF) added an emergency lending instrument to the policy arsenal, guaranteeing liquidity, but at a price. Using a regression discontinuity design that exploits MLF-lending-eligibility population cutoffs, we find that the MLF contributed to the easing of liquidity pressures and reduced perceived credit risk for municipal borrowers. Low-rated issuers experienced yield reductions of at least 26 bps. We also provide suggestive evidence that these liquidity effects translated into employment gains.",https://www.aeaweb.org/doi/10.1257/pol.20240197
