journal,year,title,authors,abstract,url
American Economic Review,2021,"Product Innovation, Product Diversification, and Firm Growth: Evidence from Japan's Early Industrialization","Serguey Braguinsky, Atsushi Ohyama, Tetsuji Okazaki and Chad Syverson","We explore how firms grow by adding products. We leverage detailed data from Japan's cotton spinning industry at the turn of the last century to do so. This setting allows us to fully characterize the type of differentiation (vertical or horizontal) of new product introductions as well as whether the product is within or outside of the firm's prior technological capabilities. We find that trying to introduce innovative products beyond the firm's previous technologically feasible set, even if such trials fail, is a key to firm growth. Indeed, it mostly facilitates growth through the firm's later success in horizontal product diversification. In long-term outcomes, the right tail of the firm size distribution becomes dominated by firms that first moved into technologically challenging products and then later applied their newly acquired technical competence to horizontal expansion of their product portfolios. Two mechanisms through which this knowledge transfer occurs are greater production system flexibility and higher product appeal to downstream buyers.",https://www.aeaweb.org/doi/10.1257/aer.20201656
American Economic Review,2021,Tax Administration versus Tax Rates: Evidence from Corporate Taxation in Indonesia,"Muhamad Basri, Mayara Felix, Rema Hanna and Benjamin A. Olken","We compare two approaches to increasing tax revenue: tax administration and tax rates. We show that when Indonesia moved top regional firms into ""medium taxpayer offices,"" with high staff-to-taxpayer ratios, tax revenue more than doubled. Examining nonlinear changes to corporate income tax rates, we estimate an elasticity of taxable income of 0.579. Combining these estimates, improved tax administration is equivalent to raising top rates on all firms by 8 percentage points. On net, improved tax administration can have significant returns for developing countries.",https://www.aeaweb.org/doi/10.1257/aer.20201237
American Economic Review,2021,Sectoral Media Focus and Aggregate Fluctuations,"Ryan Chahrour, Kristoffer Nimark and Stefan Pitschner","We formalize the editorial role of news media in a multisector economy and show that media can be an independent source of business cycle fluctuations, even when they report accurate information. Public reporting about a subset of sectoral developments that are newsworthy but unrepresentative causes firms across all sectors to hire too much or too little labor. We construct historical measures of US sectoral news coverage and use them to calibrate our model. Time-varying media focus generates demand-like fluctuations that are orthogonal to productivity, even in the absence of non-TFP shocks. Presented with historical sectoral productivity, the model reproduces the 2009 Great Recession.",https://www.aeaweb.org/doi/10.1257/aer.20191895
American Economic Review,2021,Team-Specific Human Capital and Team Performance: Evidence from Doctors,Yiqun Chen,"This paper studies whether team members' past collaboration creates team-specific human capital and influences current team performance. Using administrative Medicare claims for two heart procedures, I find that shared work experience between the doctor who performs the procedure (""proceduralist"") and the doctors who provide care to the patient during the hospital stay for the procedure (""physicians"") reduces patient mortality rates. A one standard deviation increase in proceduralist-physician shared work experience leads to a 10–14 percent reduction in patient 30-day mortality. Patient medical resource use also declines with shared work experience, even as survival improves.",https://www.aeaweb.org/doi/10.1257/aer.20201238
American Economic Review,2021,Prep School for Poor Kids: The Long-Run Impacts of Head Start on Human Capital and Economic Self-Sufficiency,"Martha Bailey, Shuqiao Sun and Brenden Timpe","This paper evaluates the long-run effects of Head Start using large-scale, restricted administrative data. Using the county roll-out of Head Start between 1965 and 1980 and age-eligibility cutoffs for school entry, we find that Head Start generated large increases in adult human capital and economic self-sufficiency, including a 0.65-year increase in schooling, a 2.7 percent increase in high school completion, an 8.5 percent increase in college enrollment, and a 39 percent increase in college completion. These estimates imply sizable, long-term returns to investments in means-tested, public preschool programs.",https://www.aeaweb.org/doi/10.1257/aer.20181801
American Economic Review,2021,M Equilibrium: A Theory of Beliefs and Choices in Games,Jacob K. Goeree and Philippos Louis,"We introduce a set-valued solution concept, M equilibrium, to capture empirical regularities from over half a century of game theory experiments. We show M equilibrium serves as a meta theory for various models that hitherto were considered unrelated. M equilibrium is empirically robust and, despite being set-valued, falsifiable. Results from a series of experiments that compare M equilibrium to leading behavioral game theory models demonstrate its virtues in predicting observed choices and stated beliefs. Data from experimental games with a unique pure-strategy Nash equilibrium and multiple M equilibria exhibit coordination problems that could not be anticipated through the lens of existing models.",https://www.aeaweb.org/doi/10.1257/aer.20201683
American Economic Review,2021,Delegation in Veto Bargaining,"Navin Kartik, Andreas Kleiner and Richard Van Weelden","A proposer requires a veto player's approval to change a status quo. Proposer is uncertain about Vetoer's preferences. We show that Vetoer is typically given a non-singleton menu, or delegation set, of options to pick from. The optimal set balances the extent of compromise with the risk of a veto. We identify conditions for certain delegation sets to emerge, including ""full delegation"": Vetoer can choose any action between the status quo and Proposer's ideal action. By contrast to expertise-based delegation, Proposer gives less discretion to Vetoer when their preferences are more (likely to be) aligned.",https://www.aeaweb.org/doi/10.1257/aer.20201817
American Economic Review,2021,Synthetic Difference-in-Differences,"Dmitry Arkhangelsky, Susan Athey, David A. Hirshberg, Guido Imbens and Stefan Wager","We present a new estimator for causal effects with panel data that builds on insights behind the widely used difference-in-differences and synthetic control methods. Relative to these methods we find, both theoretically and empirically, that this ""synthetic difference-in-differences"" estimator has desirable robustness properties, and that it performs well in settings where the conventional estimators are commonly used in practice. We study the asymptotic behavior of the estimator when the systematic part of the outcome model includes latent unit factors interacted with latent time factors, and we present conditions for consistency and asymptotic normality.",https://www.aeaweb.org/doi/10.1257/aer.20190159
American Economic Review,2021,"Market Entry, Fighting Brands, and Tacit Collusion: Evidence from the French Mobile Telecommunications Market","Marc Bourreau, Yutec Sun and Frank Verboven","We study a major new entry in the French mobile telecommunications market, followed by the introduction of fighting brands by the three incumbents. Using an empirical oligopoly model, we find that the incumbents' fighting brand strategies are difficult to rationalize as unilateral best responses. Instead, their strategies are consistent with a breakdown of tacit semi-collusion: before entry, the incumbents could successfully coordinate on restricting product variety to avoid cannibalization; after entry, this outcome became harder to sustain because of increased business stealing incentives. Consumers gained considerably from the added variety and, to a lesser extent, from the incumbents' price responses.",https://www.aeaweb.org/doi/10.1257/aer.20190540
American Economic Review,2021,Bargaining under the Illusion of Transparency,Kristóf Madarász,"This paper studies bargaining with noncommon priors where the buyer projects and exaggerates the probability that her private information may leak to the seller. Letting the buyer name her price first, raises the seller's payoff above his payoff from posting a price. In seller-offer bargaining, projection implies a partial reversal of classic Coasian comparative static results. Weakening price commitment can benefit the seller and, as long as the relative speed at which imaginary information versus offers arrive does not converge to zero too quickly, frictionless bargaining converges to a fast haggling process which allows the seller to extract all surplus from trade. Bargaining under common prior transparency is instead slow and becomes equivalent to simply waiting. The comparative static predictions are consistent with experimental evidence.",https://www.aeaweb.org/doi/10.1257/aer.20150004
American Economic Review,2021,Naïve Learning with Uninformed Agents,"Abhijit Banerjee, Emily Breza, Arun G. Chandrasekhar and Markus Mobius","The DeGroot model has emerged as a credible alternative to the standard Bayesian model for studying learning on networks, offering a natural way to model naïve learning in a complex setting. One unattractive aspect of this model is the assumption that the process starts with every node in the network having a signal. We study a natural extension of the DeGroot model that can deal with sparse initial signals. We show that an agent's social influence in this generalized DeGroot model is essentially proportional to the degree-weighted share of uninformed nodes who will hear about an event for the first time via this agent. This characterization result then allows us to relate network geometry to information aggregation. We show information aggregation preserves ""wisdom"" in the sense that initial signals are weighed approximately equally in a model of network formation that captures the sparsity, clustering, and small-world properties of real-world networks. We also identify an example of a network structure where essentially only the signal of a single agent is aggregated, which helps us pinpoint a condition on the network structure necessary for almost full aggregation. Simulating the modeled learning process on a set of real-world networks, we find that there is on average 22.4 percent information loss in these networks. We also explore how correlation in the location of seeds can exacerbate aggregation failure. Simulations with real-world network data show that with clustered seeding, information loss climbs to 34.4 percent.",https://www.aeaweb.org/doi/10.1257/aer.20181151
American Economic Review,2021,"Incentive Constrained Risk Sharing, Segmentation, and Asset Pricing","Bruno Biais, Johan Hombert and Pierre-Olivier Weill","Incentive problems make securities' payoffs imperfectly pledgeable, limiting agents' ability to issue liabilities. We analyze the equilibrium consequences of such endogenous incompleteness in a dynamic exchange economy. Because markets are endogenously incomplete, agents have different intertemporal marginal rates of substitution, so that they value assets differently. Consequently, agents hold different portfolios. This leads to endogenous markets segmentation, which we characterize with optimal transport methods. Moreover, there is a basis going always in the same direction: the price of a security is lower than that of replicating portfolios of long positions. Finally, equilibrium expected returns are concave in factor loadings.",https://www.aeaweb.org/doi/10.1257/aer.20181707
American Economic Review,2021,Venting Out: Exports during a Domestic Slump,"Miguel Almunia, Pol Antràs, David Lopez-Rodriguez and Eduardo Morales","We study the relationship between domestic-demand shocks and exports using data for Spanish manufacturing firms in 2002–2013. Exploiting plausibly exogenous geographical variation caused by the Great Recession, we find that firms whose domestic sales declined by more experienced a larger increase in export flows, controlling for firms' supply determinants. This result illustrates the capacity of export markets to counteract the negative impact of local demand shocks. By structurally estimating a heterogeneous-firm model of exporting with nonconstant marginal costs of production, we conclude that these firm-level responses accounted for half of the spectacular increase in Spanish goods exports over the period 2009–2013.",https://www.aeaweb.org/doi/10.1257/aer.20181853
