journal,year,title,authors,abstract,url
Biometrika,2021,Event history and topological data analysis,"K Garside, A Gjoka, R Henderson, H Johnson and I Makarenko","SummaryPersistent homology is used to track the appearance and disappearance of features as we move through a nested sequence of topological spaces. Equating the nested sequence to a filtration and the appearance and disappearance of features to events, we show that simple event history methods can be used for the analysis of topological data. We propose a version of the well-known Nelson–Aalen cumulative hazard estimator for the comparison of topological features of random fields and for testing parametric assumptions. We suggest a Cox proportional hazards approach for the analysis of embedded metric trees. The Nelson–Aalen method is illustrated on globally distributed climate data and on neutral hydrogen distribution in the Milky Way. The Cox method is used to compare vascular patterns in fundus images of the eyes of healthy and diabetic retinopathy patients.",http://hdl.handle.net/10.1093/biomet/asaa097
Biometrika,2021,Discussion of ‘Event history and topological data analysis’,Moo K Chung and Hernando Ombao,,http://hdl.handle.net/10.1093/biomet/asab023
Biometrika,2021,Discussion of ‘Event history and topological data analysis’,C A N Biscio and J Møller,,http://hdl.handle.net/10.1093/biomet/asab032
Biometrika,2021,Discussion of ‘Event history and topological data analysis’,Peter Bubenik,"SummaryGarside et al. (2021) use event history methods to analyse topological data. We provide additional background on persistent homology to contrast the hazard estimators used in Garside et al. (2021) with standard approaches in topological data analysis. In particular, Garside et al.’s approach is a local method, which has advantages and disadvantages, whereas homology is global. We also provide more details on persistence landscapes and show how a more complete use of this statistic improves its performance.",http://hdl.handle.net/10.1093/biomet/asab022
Biometrika,2021,Rejoinder: ‘Event history and topological data analysis’,"K Garside, A Gjoka, R Henderson, H Johnson and I Makarenko",,http://hdl.handle.net/10.1093/biomet/asab040
Biometrika,2021,Consistency guarantees for greedy permutation-based causal inference algorithms,"L Solus, Y Wang and C Uhler","SummaryDirected acyclic graphical models are widely used to represent complex causal systems. Since the basic task of learning such a model from data is NP-hard, a standard approach is greedy search over the space of directed acyclic graphs or Markov equivalence classes of directed acyclic graphs. As the space of directed acyclic graphs onnodes and the associated space of Markov equivalence classes are both much larger than the space of permutations, it is desirable to consider permutation-based greedy searches. Here, we provide the first consistency guarantees, both uniform and high dimensional, of a greedy permutation-based search. This search corresponds to a simplex-like algorithm operating over the edge-graph of a subpolytope of the permutohedron, called a directed acyclic graph associahedron. Every vertex in this polytope is associated with a directed acyclic graph, and hence with a collection of permutations that are consistent with the directed acyclic graph ordering. A walk is performed on the edges of the polytope maximizing the sparsity of the associated directed acyclic graphs. We show via simulated and real data that this permutation search is competitive with current approaches.",http://hdl.handle.net/10.1093/biomet/asaa104
Biometrika,2021,Regression adjustment in completely randomized experiments with a diverging number of covariates,Lihua Lei and Peng Ding,"SummaryRandomized experiments have become important tools in empirical research. In a completely randomized treatment-control experiment, the simple difference in means of the outcome is un- biased for the average treatment effect, and covariate adjustment can further improve the efficiency without assuming a correctly specified outcome model. In modern applications, experimenters often have access to many covariates, motivating the need for a theory of covariate adjustment under the asymptotic regime with a diverging number of covariates. We study the asymptotic properties of covariate adjustment under the potential outcomes model and propose a bias-corrected estimator that is consistent and asymptotically normal under weaker conditions. Our theory is based purely on randomization without imposing any parametric outcome model assumptions. To prove the theoretical results, we develop novel vector and matrix concentration inequalities for sampling without replacement.",http://hdl.handle.net/10.1093/biomet/asaa103
Biometrika,2021,Changepoint inference in the presence of missing covariates for principal surrogate evaluation in vaccine trials,"Tao Yang, Ying Huang and Youyi Fong","SummaryWe consider the use of threshold-based regression models to evaluate immune response biomarkers as principal surrogate markers of a vaccine’s protective effect. Threshold-based regression models, which allow the relationship between a clinical outcome and a covariate to change dramatically across a threshold value in the covariate, have been studied by various authors under fully observed data. Limited research, however, has examined these models in the presence of missing covariates, such as the counterfactual potential immune responses of a participant in the placebo arm of a standard vaccine trial had they been assigned to the vaccine arm instead. Based on a hinge model for a threshold effect of the principal surrogate on vaccine efficacy, we develop a regression method that consists of two components: (i) an estimated likelihood method for handling missing potential outcomes, and (ii) a penalty imposed on the estimated likelihood to ensure satisfactory finite-sample performance. We develop a method that allows joint estimation of all model parameters, as well as a two-step method that separates estimation of the threshold parameter from the rest of the parameters. Stable iterative algorithms are developed to implement the two methods, and the asymptotic properties of the proposed estimators are established. In simulation studies, the proposed estimators are shown to have satisfactory finite-sample performance. The proposed methods are applied to real data collected from dengue vaccine efficacy trials to predict how vaccine efficacy varies with an individual’s potential immune response if receiving the vaccine.",http://hdl.handle.net/10.1093/biomet/asaa100
Biometrika,2021,A method of constructing maximin distance designs,"Wenlong Li, Min-Qian Liu and Boxin Tang","SummaryAn attractive type of space-filling design for computer experiments is the class of maximin distance designs. Algorithmic search is commonly used for finding such designs, but this approach becomes ineffective for large problems. Theoretical construction of maximin distance designs is challenging; some results have been obtained recently, often using highly specialized techniques. This article presents an easy-to-use method for constructing maximin distance designs. The method is versatile as it works with any distance measure. The basic idea is to construct large designs from small designs, and the method is effective because the quality of large designs is guaranteed by that of small designs, as evaluated by the maximin distance criterion.",http://hdl.handle.net/10.1093/biomet/asaa089
Biometrika,2021,Elicitation complexity of statistical properties,Rafael M Frongillo and Ian A Kash,"SummaryA property, or statistical functional, is said to be elicitable if it minimizes the expected loss for some loss function. The study of which properties are elicitable sheds light on the capabilities and limitations of point estimation and empirical risk minimization. While recent work has sought to identify which properties are elicitable, here we investigate a more nuanced question: how many dimensions are required to indirectly elicit a given property? This number is called the elicitation complexity of the property. We lay the foundation for a general theory of elicitation complexity, which includes several basic results on how elicitation complexity behaves and the complexity of standard properties of interest. Building on this foundation, our main result gives tight complexity bounds for the broad class of Bayes risks. We apply these results to several properties of interest, including variance, entropy, norms and several classes of financial risk measures. The article concludes with a discussion and open questions.",http://hdl.handle.net/10.1093/biomet/asaa093
