journal,year,title,authors,abstract,url
Econometrica,2023,"Presidential Address: Demand‐Side Constraints in Development. The Role of Market Size, Trade, and (In)Equality",Pinelopi Goldberg and Tristan Reed,"What is the pathway to development in a world marked by rising economic nationalism and less international integration? This paper answers this question within a framework that emphasizes the role of demand‐side constraints on national development, which is identified with sustained poverty reduction. In this framework, development is linked to the adoption of an increasing returns to scale technology by imperfectly competitive firms that need to pay the fixed setup cost of switching to that technology. Sustained poverty reduction is measured as a continuous decline in the share of the population living below $1.90/day purchasing power parity in 2011 U.S. dollars over a five‐year period. This outcome is affected in a statistically significant and economically meaningful way by domestic market size, which is measured as a function of the income distribution, and international market size, which is measured as a function of legally‐binding provisions to international trade agreements, including the General Agreement on Tariffs and Trade, the World Trade Organization, and 279 preferential trade agreements. Counterfactual estimates suggest that, in the absence of international integration, the average resident of a low‐ or lower‐middle‐income country does not live in a market large enough to experience sustained poverty reduction. Domestic redistribution targeted towards generating a larger middle class can partially compensate for the lack of an international market.",https://doi.org/10.3982/ECTA20787
Econometrica,2023,"A Comment on: “Presidential Address: Demand‐Side Constraints in Development. The Role of Market Size, Trade, and (In)Equality” by Pinelopi Koujianou Goldberg and Tristan Reed",Tim Bresnahan,,https://doi.org/10.3982/ECTA22218
Econometrica,2023,"A Comment on: “Presidential Address: Demand‐Side Constraints in Development: The Role of Market Size, Trade, and (In)Equality” by Pinelopi Koujianou Goldberg and Tristan Reed",Paula Bustos,,https://doi.org/10.3982/ECTA22318
Econometrica,2023,"A Comment on: “Presidential Address: Demand‐Side Constraints in Development: The Role of Market Size, Trade, and (In)Equality,” by Pinelopi Koujianou Goldberg and Tristan Reed",Dani Rodrik,,https://doi.org/10.3982/ECTA22088
Econometrica,2023,"Reply to: Comments on “Presidential Address: Demand‐Side Constraints in Development. The Role of Market Size, Trade, and (In)Equality”",Pinelopi Goldberg and Tristan Reed,,https://doi.org/10.3982/ECTA22251
Econometrica,2023,Algorithmic Mechanism Design With Investment,"Mohammad Akbarpour, Scott Kominers, Kevin Michael Li, Shengwu Li and Paul Milgrom",We study the investment incentives created by truthful mechanisms that allocate resources using approximation algorithms. Some approximation algorithms guarantee nearly 100% of the optimal welfare in the allocation problem but guarantee nothing when accounting for investment incentives. An algorithm's allocative and investment guarantees coincide if and only if its confirming negative externalities are sufficiently small. We introduce fast approximation algorithms for the knapsack problem that have no confirming negative externalities and guarantees close to 100% for both allocation and investment.,https://doi.org/10.3982/ECTA19559
Econometrica,2023,Price Setting With Strategic Complementarities as a Mean Field Game,"Fernando Alvarez, Francesco Lippi and Panagiotis Souganidis","We study the propagation of monetary shocks in a sticky‐price general equilibrium economy where the firms' pricing strategy features a complementarity with the decisions of other firms. In a dynamic equilibrium, the firm's price‐setting decisions depend on aggregates, which in turn depend on the firms' decisions. We cast this fixed‐point problem as a Mean Field Game and prove several analytic results. We establish existence and uniqueness of the equilibrium and characterize the impulse response function (IRF) of output following an aggregate shock. We prove that strategic complementarities make the IRF larger at each horizon. We establish that complementarities may give rise to an IRF with a hump‐shaped profile. As the complementarity becomes large enough, the IRF diverges, and at a critical point there is no equilibrium. Finally, we show that the amplification effect of the strategic interactions is similar across models: the Calvo model and the Golosov–Lucas model display a comparable amplification, in spite of the fact that the non‐neutrality in Calvo is much larger.",https://doi.org/10.3982/ECTA20797
Econometrica,2023,An Adversarial Approach to Structural Estimation,"Tetsuya Kaji, Elena Manresa and Guillaume Pouliot","We propose a new simulation‐based estimation method, adversarial estimation, for structural models. The estimator is formulated as the solution to a minimax problem between a generator (which generates simulated observations using the structural model) and a discriminator (which classifies whether an observation is simulated). The discriminator maximizes the accuracy of its classification while the generator minimizes it. We show that, with a sufficiently rich discriminator, the adversarial estimator attains parametric efficiency under correct specification and the parametric rate under misspecification. We advocate the use of a neural network as a discriminator that can exploit adaptivity properties and attain fast rates of convergence.",https://doi.org/10.3982/ECTA18707
Econometrica,2023,The Cross‐Sectional Implications of the Social Discount Rate,Maya Eden,"In this paper, I consider two normative questions: (1) how should policymakers approach tradeoffs that involve different age groups, and (2) at what rate should policymakers discount the consumption of future generations? I demonstrate that, under standard assumptions, these two questions are equivalent: caring more about the future means caring less about the elderly. Even small differences between the social discount rate and the market interest rate can have significant quantitative implications for the relative value placed on the consumption of different age groups.",https://doi.org/10.3982/ECTA20844
Econometrica,2023,Tail Risk in Production Networks,Ian Dew‐Becker,"This paper describes the response of the economy to large shocks in a nonlinear production network. A sector's tail centrality measures how a large negative shock transmits to GDP, that is, the systemic risk of the sector. Tail centrality is theoretically and empirically very different from local centrality measures such as sales share—in a benchmark case, it is measured as a sector's average downstream closeness to final production. It also measures how large differences in sector productivity can generate cross‐country income differences. The paper also uses the results to analyze the determinants of total tail risk in the economy. Increases in interconnectedness can simultaneously reduce the sensitivity of the economy to small shocks while increasing the sensitivity to large shocks. Tail risk is related to conditional granularity, where some sectors become highly influential following negative shocks.",https://doi.org/10.3982/ECTA21064
Econometrica,2023,Same Root Different Leaves: Time Series and Cross‐Sectional Methods in Panel Data,"Dennis Shen, Peng Ding, Jasjeet Sekhon and Bin Yu","One dominant approach to evaluate the causal effect of a treatment is through panel data analysis, whereby the behaviors of multiple units are observed over time. The information across time and units motivates two general approaches: (i) horizontal regression (i.e., unconfoundedness), which exploits time series patterns, and (ii) vertical regression (e.g., synthetic controls), which exploits cross‐sectional patterns. Conventional wisdom often considers the two approaches to be different. We establish this position to be partly false for estimation but generally true for inference. In the absence of any assumptions, we show that both approaches yield algebraically equivalent point estimates for several standard estimators. However, the source of randomness assumed by each approach leads to a distinct estimand and quantification of uncertainty even for the same point estimate. This emphasizes that researchers should carefully consider where the randomness stems from in their data, as it has direct implications for the accuracy of inference.",https://doi.org/10.3982/ECTA21248
Econometrica,2023,Nonrandom Exposure to Exogenous Shocks,Kirill Borusyak and Peter Hull,We develop a new approach to estimating the causal effects of treatments or instruments that combine multiple sources of variation according to a known formula. Examples include treatments capturing spillovers in social or transportation networks and simulated instruments for policy eligibility. We show how exogenous shocks to some—but not all—determinants of such variables can be leveraged while avoiding omitted variables bias. Our solution involves specifying counterfactual shocks that may as well have been realized and adjusting for a summary measure of nonrandomness in shock exposure: the average treatment (or instrument) across shock counterfactuals. We use this approach to address bias when estimating employment effects of market access growth from Chinese high‐speed rail construction.,https://doi.org/10.3982/ECTA19367
Econometrica,2023,Estimation Based on Nearest Neighbor Matching: From Density Ratio to Average Treatment Effect,"Zhexiao Lin, Peng Ding and Fang Han","Nearest neighbor (NN) matching is widely used in observational studies for causal effects. Abadie and Imbens (2006) provided the first large‐sample analysis of NN matching. Their theory focuses on the case with the number of NNs, M fixed. We reveal something new out of their study and show that once allowing M to diverge with the sample size an intrinsic statistic in their analysis constitutes a consistent estimator of the density ratio with regard to covariates across the treated and control groups. Consequently, with a diverging M, the NN matching with Abadie and Imbens' (2011) bias correction yields a doubly robust estimator of the average treatment effect and is semiparametrically efficient if the density functions are sufficiently smooth and the outcome model is consistently estimated. It can thus be viewed as a precursor of the double machine learning estimators.",https://doi.org/10.3982/ECTA20598
