journal,year,title,authors,abstract,url
Journal of Business and Economic Statistics,2024,Imputation of Counterfactual Outcomes when the Errors are Predictable,Sílvia Gonçalves and Serena Ng,"A crucial input into causal inference is the imputed counterfactual outcome. Imputation error can arise because of sampling uncertainty from estimating the prediction model using the untreated observations, or from out-of-sample information not captured by the model. While the literature has focused on sampling uncertainty, it vanishes with the sample size. Often overlooked is the possibility that the out-of-sample error can be informative about the missing counterfactual outcome if it is mutually or serially correlated. Motivated by the best linear unbiased predictor (BLUP) of Goldberger in a time series setting, we propose an improved predictor of potential outcome when the errors are correlated. The proposed PUP is practical as it is not restricted to linear models, can be used with consistent estimators already developed, and improves mean-squared error for a large class of strong mixing error processes. Ignoring predictability in the errors can distort conditional inference. However, the precise impact will depend on the choice of estimator as well as the realized values of the residuals.",http://hdl.handle.net/10.1080/07350015.2024.2358900
Journal of Business and Economic Statistics,2024,On “Imputation of Counterfactual Outcomes when the Errors are Predictable”: Discussions on Misspecification and Suggestions of Sensitivity Analyses,Luis A. F. Alvarez and Bruno Ferman,"Gonçalves and Ng propose an interesting and simple way to improve counterfactual imputation methods when errors are predictable. For unconditional analyses, this approach yields smaller mean-squared error and tighter prediction intervals in large samples, even if the dependence of the errors is misspecified. For conditional analyses, this approach corrects the bias of standard methods, and provides valid asymptotic inference, if the dependence of the errors is correctly specified. In this comment, we first discuss how the assumptions imposed on the errors depend on the model and estimator adopted. This enables researchers to assess the validity of the assumptions imposed on the structure of the errors, and the relevant information set for conditional analyses. We then propose a simple sensitivity analysis in order to quantify the amount of misspecification on the dependence structure of the errors required for the conclusions of conditional analyses to be changed.",http://hdl.handle.net/10.1080/07350015.2024.2359594
Journal of Business and Economic Statistics,2024,Counterfactual Imputation: Comments on “Imputation of Counterfactual Outcomes when the Errors are Predictable” by Silvia Gonçalves and Serena Ng,Marcelo C. Medeiros,"The measurement of treatment (intervention) effects on a single (or just a few) treated unit(s) based on counterfactuals constructed from artificial controls has become a popular practice in applied statistics and economics since the proposal of the synthetic control method. However, most of the literature has ignored the time-series properties of the data. The work of Gonçalves and Ng fills this gap by proposing a simple correction for existing estimators to take into account serial and cross-correlation in the data. This note provides some thoughts on Gonçalves and Ng’s method.",http://hdl.handle.net/10.1080/07350015.2024.2368805
Journal of Business and Economic Statistics,2024,On “Imputation of Counterfactual Outcomes When the Errors Are Predictable”: Viewing the PUP as the DID and the LDV,Yuya Sasaki,"I discuss the practical unbiased predictor (PUP; Gonçalves and Ng) from the viewpoint of the literature on identification in event studies. The PUP can be seen as the prediction based on a generalized estimand that encompasses both the difference-in-differences (DID) and the lagged dependent variable (LDV). This feature of the PUP allows for a doubly robust property that the identification is achieved when either the parallel trend assumption or the LDV assumption holds at the expense of richer data. Furthermore, in this case, the bracketing property implies that the PUP identifying the true causal effect is bounded below by the LDV and above by the DID.",http://hdl.handle.net/10.1080/07350015.2024.2351883
Journal of Business and Economic Statistics,2024,Discussion of “Imputation of Counterfactual Outcomes when the Errors are Predictable” by Sílvia Gonçalves and Serena Ng,Kaspar Wüthrich,I argue that the PUP approach proposed by Goncalves and Ng is not only useful for reducing the mean squared error of treatment effect estimators but can also be motivated from an identification perspective when units select into treatment based on past shocks.,http://hdl.handle.net/10.1080/07350015.2024.2362922
Journal of Business and Economic Statistics,2024,Imputation of Counterfactual Outcomes when the Errors are Predictable: Rejoinder,Sílvia Gonçalves and Serena Ng,,http://hdl.handle.net/10.1080/07350015.2024.2393722
Journal of Business and Economic Statistics,2024,Unconditional Quantile Regression for Streaming Datasets,Rong Jiang and Keming Yu,"The Unconditional Quantile Regression (UQR) method, initially introduced by Firpo et al. has gained significant traction as a popular approach for modeling and analyzing data. However, much like Conditional Quantile Regression (CQR), UQR encounters computational challenges when it comes to obtaining parameter estimates for streaming datasets. This is attributed to the involvement of unknown parameters in the logistic regression loss function used in UQR, which presents obstacles in both computational execution and theoretical development. To address this, we present a novel approach involving smoothing logistic regression estimation. Subsequently, we propose a renewable estimator tailored for UQR with streaming data, relying exclusively on current data and summary statistics derived from historical data. Theoretically, our proposed estimators exhibit equivalent asymptotic properties to the standard version computed directly on the entire dataset, without any additional constraints. Both simulations and real data analysis are conducted to illustrate the finite sample performance of the proposed methods.",http://hdl.handle.net/10.1080/07350015.2023.2293162
Journal of Business and Economic Statistics,2024,Linking Frequentist and Bayesian Change-Point Methods,"David Ardia, Arnaud Dufays and Carlos Ordás Criado","We show that the two-stage minimum description length (MDL) criterion widely used to estimate linear change-point (CP) models corresponds to the marginal likelihood of a Bayesian model with a specific class of prior distributions. This allows results from the frequentist and Bayesian paradigms to be bridged together. Thanks to this link, one can rely on the consistency of the number and locations of the estimated CPs and the computational efficiency of frequentist methods, and obtain a probability of observing a CP at a given time, compute model posterior probabilities, and select or combine CP methods via Bayesian posteriors. Furthermore, we adapt several CP methods to take advantage of the MDL probabilistic representation. Based on simulated data, we show that the adapted CP methods can improve structural break detection compared to state-of-the-art approaches. Finally, we empirically illustrate the usefulness of combining CP detection methods when dealing with long time series and forecasting.",http://hdl.handle.net/10.1080/07350015.2023.2293166
Journal of Business and Economic Statistics,2024,Oracle Efficient Estimation of Heterogeneous Dynamic Panel Data Models with Interactive Fixed Effects,"Yiqiu Cao, Sainan Jin, Xun Lu and Liangjun Su",We propose a two-step procedure to estimate a heterogeneous dynamic panel data model with interactive fixed effects. We establish the asymptotic properties of the estimators and show that the final estimator is oracle efficient. We also propose a specification test for the null hypothesis of homogeneous slopes and study the asymptotic properties of the test statistic under both local and global alternatives. Simulations demonstrate the fine performance of the estimator and test statistic. The new estimation and inference methods are applied to study the heterogeneous effects of minimum wage on employment across different counties in the United States. Our dynamic model suggests that the changes of employment range from about–1% to 1% when the minimum wage increases by 1%.,http://hdl.handle.net/10.1080/07350015.2023.2294124
Journal of Business and Economic Statistics,2024,Nonparametric Identification and Inference of First-Price Auctions with Heterogeneous Bidders,Zheng Li,"In the auction literature, it is well established that bidders’ asymmetry plays an important role in determining auction revenues. In this article, we propose a nonparametric methodology to analyze first-price auctions with two popularly adopted asymmetries: heterogeneous risk preferences and asymmetric value distributions. We find that the two competing models provide distinct implications for the bid distributions conditional on heterogeneity. By modeling bidders’ asymmetry as unobserved heterogeneity, we show that the conditional bid distributions are identified nonparametrically. These results enable researchers to test the two competing models. In an application using the US Forest Service timber auction data, we find that the data supports the model with heterogeneity in risk preference.",http://hdl.handle.net/10.1080/07350015.2023.2299432
Journal of Business and Economic Statistics,2024,Generalized Spectral Tests for Multivariate Martingale Difference Hypotheses,Xuexin Wang,"This study proposes new generalized spectral tests for multivariate martingale difference hypotheses, specifically geared toward high-dimensionality scenarios where the dimension of the time series is comparable or even larger than the sample size in practice. We develop an asymptotic theory and a valid wild bootstrapping procedure for the new test statistics, in which the dimension of the time series is fixed. We demonstrate that a bias-reduced version of the test statistics effectively addresses the high-dimensionality concerns. Comprehensive Monte Carlo simulations reveal that the bias-reduced statistic performs substantially better than its competitors. The application to testing the efficient market hypothesis on the U.S. stock market illustrates the usefulness of our proposal.",http://hdl.handle.net/10.1080/07350015.2024.2301954
Journal of Business and Economic Statistics,2024,Model Checking in Partially Linear Spatial Autoregressive Models,"Zixin Yang, Xiaojun Song and Jihai Yu","This article proposes two new classes of nonparametric tests for the correct specification of linear spatial autoregressive models based on the “integrated conditional moment” approach. Our test statistics are constructed as continuous functionals of a residual marked empirical process as well as its projected version. We derive asymptotic properties of the test statistics under the null hypothesis, the alternative hypothesis, and a sequence of local alternatives. The proposed tests do not involve the selection of tuning parameters such as bandwidths and are able to detect a broad class of local alternatives converging to the null at the parametric rate n−1/2 , with n being the sample size. We also propose a multiplier bootstrap procedure that is computationally simple to approximate the critical values. Monte Carlo simulations illustrate that our tests have a reasonable size and satisfactory power for different types of data-generating processes. Finally, an empirical analysis of growth convergence is carried out to demonstrate the usefulness of the tests.",http://hdl.handle.net/10.1080/07350015.2024.2301958
Journal of Business and Economic Statistics,2024,Noncommon Breaks,Simon C. Smith,"We develop a new Bayesian approach to estimate noncommon structural breaks in panel regression models. Any subset of the cross-section may be hit at different times within a break window. Break-specific parameters are learned from the cross-section. They reflect whether (i) breaks hit many or few series and (ii) there is a long or short lag between the first and final series hit by a break. In an empirical application to international stock return predictability, the method generates significantly more accurate forecasts than several benchmarks that yield economically meaningful utility gains for a risk averse investor with power utility.",http://hdl.handle.net/10.1080/07350015.2024.2301969
Journal of Business and Economic Statistics,2024,Dynamic Realized Minimum Variance Portfolio Models,Donggyu Kim and Minseog Oh,"This article introduces a dynamic minimum variance portfolio (MVP) model using nonlinear volatility dynamic models, based on high-frequency financial data. Specifically, we impose an autoregressive dynamic structure on MVP processes, which helps capture the MVP dynamics directly. To evaluate the dynamic MVP model, we estimate the inverse volatility matrix using the constrained l1-minimization for inverse matrix estimation (CLIME) and calculate daily realized non-normalized MVP weights. Based on the realized non-normalized MVP weight estimator, we propose the dynamic MVP model, which we call the dynamic realized minimum variance portfolio (DR-MVP) model. To estimate a large number of parameters, we employ the least absolute shrinkage and selection operator (LASSO) and predict the future MVP and establish its asymptotic properties. Using high-frequency trading data, we apply the proposed method to MVP prediction.",http://hdl.handle.net/10.1080/07350015.2024.2308106
Journal of Business and Economic Statistics,2024,Detecting Multiple Level Shifts in Bounded Time Series,Josep Carrion-i-Silvestre and María Dolores Gadea,"The article proposes a sequential statistical procedure to test for the presence of level shifts affecting bounded time series, regardless of their order of integration. The article shows that bounds are relevant for the statistic that assumes that the time series are integrated of order one. In contrast, they do not affect the limiting distribution of the statistic that is defined for time series that are integrated of order zero. The article proposes a union rejection statistic for bounded processes that does not require information about the order of integration of the stochastic processes. The model specification is general enough to consider the existence of structural breaks that can affect either the level of the time series and/or the bounds that limit its evolution. Monte Carlo simulations indicate that the procedure works well in finite samples. An empirical application that focuses on the Swiss franc against the euro exchange rate evolution illustrates the usefulness of the proposal.",http://hdl.handle.net/10.1080/07350015.2024.2308107
Journal of Business and Economic Statistics,2024,Policy Analysis Using Multilevel Regression Models with Group Interactive Fixed Effects,Zhenhao Gong and Min Seong Kim,"The use of multilevel regression models is prevalent in policy analysis to estimate the effect of group level policies on individual outcomes. In order to allow for the time varying effect of group heterogeneity and the group specific impact of time effects, we propose a group interactive fixed effects approach that employs interaction terms of group factor loadings and common factors in this model. For this approach, we consider the least squares estimator and associated inference procedure. We examine their properties under the large n and fixed T asymptotics. The number of groups, G, is allowed to grow but at a slower rate. We also propose a test for the level of grouping to specify group factor loadings, and a GMM approach to address policy endogeneity with respect to idiosyncratic errors. Finally, we provide empirical illustrations of the proposed approach using two empirical examples.",http://hdl.handle.net/10.1080/07350015.2024.2308108
Journal of Business and Economic Statistics,2024,The Block-Correlated Pseudo Marginal Sampler for State Space Models,"David Gunawan, Pratiti Chatterjee and Robert Kohn","Pseudo Marginal Metropolis-Hastings (PMMH) is a general approach to Bayesian inference when the likelihood is intractable, but can be estimated unbiasedly. Our article develops an efficient PMMH method that scales up better to higher dimensional state vectors than previous approaches. The improvement is achieved by the following innovations. First, a novel block version of PMMH that works with multiple particle filters is proposed. Second, the trimmed mean of the unbiased likelihood estimates of the multiple particle filters is used. Third, the article develops an efficient auxiliary disturbance particle filter, which is necessary when the bootstrap disturbance filter is inefficient, but the state transition density cannot be expressed in closed form. Fourth, a novel sorting algorithm, which is as effective as previous approaches but significantly faster than them, is developed to preserve the correlation between the logs of the likelihood estimates at the current and proposed parameter values. The performance of the sampler is investigated empirically by applying it to nonlinear Dynamic Stochastic General Equilibrium models with relatively high state dimensions and with intractable state transition densities and to multivariate GARCH diffusion-driven volatility in the mean models. Although we only apply the method to state space models, the approach will be useful in a wide range of applications such as large panel data models and stochastic differential equation models with mixed effects.",http://hdl.handle.net/10.1080/07350015.2024.2308109
Journal of Business and Economic Statistics,2024,Testing for Equivalence of Pre-Trends in Difference-in-Differences Estimation,Holger Dette and Martin Schumann,"The plausibility of the “parallel trends assumption” in Difference-in-Differences estimation is usually assessed by a test of the null hypothesis that the difference between the average outcomes of both groups is constant over time before the treatment. However, failure to reject the null hypothesis does not imply the absence of differences in time trends between both groups. We provide equivalence tests that allow researchers to find evidence in favor of the parallel trends assumption and thus increase the credibility of their treatment effect estimates. While we motivate our tests in the standard two-way fixed effects model, we discuss simple extensions to settings in which treatment adoption is staggered over time.",http://hdl.handle.net/10.1080/07350015.2024.2308121
Journal of Business and Economic Statistics,2024,Investigating Growth-at-Risk Using a Multicountry Nonparametric Quantile Factor Model,"Todd Clark, Florian Huber, Gary Koop, Massimiliano Marcellino and Michael Pfarrhofer","We develop a nonparametric quantile panel regression model. Within each quantile, the quantile function is a combination of linear and nonlinear parts, which we approximate using Bayesian Additive Regression Trees (BART). Cross-sectional information is captured through a conditionally heteroscedastic latent factor. The nonparametric feature enhances flexibility, while the panel feature increases the number of observations in the tails. We develop Bayesian methods for inference and apply several versions of the model to study growth-at-risk dynamics in a panel of 11 advanced economies. Our framework usually improves upon single-country quantile models in recursive growth forecast comparisons.",http://hdl.handle.net/10.1080/07350015.2024.2310020
Journal of Business and Economic Statistics,2024,Identification and Auto-Debiased Machine Learning for Outcome-Conditioned Average Structural Derivatives,"Zequn Jin, Lihua Lin and Zhengyu Zhang","This study proposes a new class of heterogeneous causal quantities, referred to as outcome-conditioned average structural derivatives (OASDs), in a general nonseparable model. An OASD is the average partial effect of a marginal change in a continuous treatment on individuals located on different parts of an outcome distribution, irrespective of individuals’ characteristics. We show that OASDs extend the unconditional quantile partial effects (UQPE) proposed by Firpo, Fortin, and Lemieux to that conditional on a set of outcome values by effectively integrating the UQPE. Exploiting such relationship brings about two merits. First, unlike UQPE that is generally not n-estimable, OASD is shown to be n-estimable. Second, our estimator achieves semiparametric efficiency bound which is a new result in the literature. We propose a novel, automatic, debiased machine-learning estimator for an OASD, and present asymptotic statistical guarantees for it. The estimator is proven to be n-consistent, asymptotically normal, and semi-parametrically efficient. We also prove the validity of the bootstrap procedure for uniform inference for the OASD process. We apply the method to Imbens, Rubin, and Sacerdote’s lottery data.",http://hdl.handle.net/10.1080/07350015.2024.2310022
Journal of Business and Economic Statistics,2024,Variable Selection Based Testing for Parameter Changes in Regression with Autoregressive Dependence,"Lajos Horvath, Piotr Kokoszka and Shanglin Lu","We consider a regression model with autoregressive terms and propose significance tests for the detection of change points in this model. Our tests are applicable to both low- or moderate dimension and to high-dimension with sparse regressors. The dimension may be high from the practical point of view of economic and business applications, but in our theoretical framework it is fixed. To accommodate practically high dimension, variable selection is incorporated as an integral part of our approach. The regressors and the errors can exhibit general nonlinear dependence and the model incorporates autoregressive dependence. We develop asymptotic justification and evaluate the performance of the tests both on simulated and real economic data. We test for and estimate changes in responses to risk factors of a U.S. energy stocks portfolio and the Industrial Production index. We relate our findings to macroeconomic policy changes and global impact events.",http://hdl.handle.net/10.1080/07350015.2024.2310025
Journal of Business and Economic Statistics,2024,Maximum-Subsampling Test of Equal Predictive Ability,"Wei Lan, Bo Lei, Long Feng and Chih-Ling Tsai","In comparing the accuracy of any two competing forecasts, under the assumption that the loss differentials are covariance stationary, Diebold and Mariano (DM) proposed a test statistic that is asymptotically normal. This test is further studied by Giacomini and White (GW). However, under the DM-GW framework, the estimator of the variance of the DM test can be inaccurate in small samples, which yields size distortions; see, for example, Coroneo and Iacone (CI). To alleviate this challenge, we propose a maximum-subsampling (MS) test that does not require estimating the long-run variance induced by a number of autocovariances. Accordingly, the MS test is applicable for comparing the predictive ability between two competing forecasts even when the loss differentials are serially correlated with arbitrary autocovariance structures. We demonstrate that the MS test converges to the type I extreme value distribution under the DM-GW null hypothesis with proper conditions. In addition, under a set of alternative hypotheses, we show the MS test is consistent. We further compare the MS test with the DM test and two CI tests via five simulation settings, which are either modified or adapted from McCracken and Coroneo and Iacone. Simulation results show that the MS test performs satisfactorily.",http://hdl.handle.net/10.1080/07350015.2024.2311196
Journal of Business and Economic Statistics,2024,Adaptive Testing for Alphas in Conditional Factor Models with High Dimensional Assets,"Huifang Ma, Long Feng, Zhaojun Wang and Jigang Bao","This article focuses on testing for the presence of alpha in time-varying factor pricing models, specifically when the number of securities N is larger than the time dimension of the return series T. We introduce a maximum-type test that performs well in scenarios where the alternative hypothesis is sparse. We establish the limit null distribution of the proposed maximum-type test statistic and demonstrate its asymptotic independence from the sum-type test statistics proposed by Ma et al. Additionally, we propose an adaptive test by combining the maximum-type test and sum-type test, and we show its advantages under various alternative hypotheses through simulation studies and two real data applications.",http://hdl.handle.net/10.1080/07350015.2024.2313543
