journal,year,title,authors,abstract,url
Journal of Econometrics,2026,Estimation of common factors for microstructure noise and efficient price in a high-frequency dual factor model,"Yu-Ning Li, Jia Chen and Oliver Linton","We develop the Double Principal Component Analysis (DPCA) based on a dual factor structure for high-frequency intraday returns contaminated with microstructure noise. The dual factor structure allows a factor structure for microstructure noise in addition to the factor structure for efficient log-prices. We construct estimators of factors for both efficient log-prices and microstructure noise as well as their common components, and provide uniform consistency of these estimators when the number of assets and the sampling frequency go to infinity. In a Monte Carlo exercise, we compare our DPCA method to a PCA-VECM method. Finally, an empirical analysis of intraday returns of S&P 500 Index constituents provides evidence of co-movement of the microstructure noise that distinguishes from latent systematic risk factors.",http://www.sciencedirect.com/science/article/pii/S0304407623000131
Journal of Econometrics,2026,Robust estimation of integrated and spot volatility,Z. Merrick Li and Oliver Linton,"We introduce a new method to estimate the integrated volatility (IV) and the spot volatility (SV) based on noisy high-frequency data. Our method employs the ReMeDI approach introduced by Li and Linton (2022) to estimate the moments of microstructure noise and thereby eliminate their influence, and the pre-averaging method to target the volatility parameter. The method is robust: it can be applied when the efficient price exhibits stochastic volatility and jumps, the observation times are random, and the noise process is nonstationary, autocorrelated, asymptotically vanishing and dependent on the efficient price. We derive the limit distributions for the proposed estimators under the infill asymptotics in a general setting. Our extensive simulation studies demonstrate the robustness, accuracy and computational efficiency of our estimators compared to several alternative estimators recently proposed in the literature. Empirically, we show that neglecting the complexities of noise and the random observation times generates substantial biases in volatility estimation and may yield a different intraday volatility pattern.",http://www.sciencedirect.com/science/article/pii/S0304407623003305
Journal of Econometrics,2026,Intraday volatility patterns from short-dated options,Viktor Todorov and Yang Zhang,"We propose a nonparametric estimator for the deterministic periodic component of volatility from short-dated options within an in-fill asymptotic setting. The estimator uses options with zero and one day to expiration sampled at high-frequency during a trading day. At each point in time, we aggregate the options to form nonparametric estimates of conditional risk-neutral expectations of future integrated return variation for the two available option tenors. A suitable ratio of these estimates removes the stochastic components of the conditional expectations of future volatility, up to asymptotically higher-order terms, and allows to form estimates of the deterministic periodic component of volatility. We derive a Central Limit Theorem for the estimator, with its rate of convergence determined from the mesh of the strike grid and the length of the time to expiration of the options. The newly-developed estimation procedure is applied to S&P 500 index options data.",http://www.sciencedirect.com/science/article/pii/S0304407624000782
Journal of Econometrics,2026,Robust realized integrated beta estimator with application to dynamic analysis of integrated beta,"Minseog Oh, Donggyu Kim and Yazhen Wang","In this paper, we develop a robust non-parametric realized integrated beta estimator using high-frequency financial data contaminated by microstructure noise, which is robust to the stylized features, such as the time-varying beta and the price-dependent and autocorrelated microstructure noise. With this robust realized integrated beta estimator, we investigate dynamic structures of integrated betas and find a persistent autoregressive structure. To model this dynamic structure, we utilize the autoregressive–moving-average (ARMA) model for daily integrated market betas. We call this the dynamic realized beta (DR Beta). Then, we propose a quasi-likelihood procedure for estimating the parameters of the ARMA model with the robust realized integrated beta estimator as the proxy. We establish asymptotic theorems for the proposed estimator and conduct a simulation study to check the performance of finite samples of the estimator. The proposed DR Beta model with the robust realized beta estimator is also illustrated by using data from the E-mini S&P 500 index futures and the top 50 large trading volume stocks from the S&P 500 and an application to constructing market-neutral portfolios.",http://www.sciencedirect.com/science/article/pii/S0304407624001568
Journal of Econometrics,2026,High dimensional regression coefficient test with high frequency data,"Dachuan Chen, Long Feng, Per A. Mykland and Lan Zhang","This paper presents the first study on high-dimensional regression coefficient tests with high-frequency financial data. These tests allow the number of regressors to be larger than the number of observations within each estimation block and can grow to infinity in asymptotics. In this paper, the sum-type test and max-type test have been proposed, where the former is suitable for the dense alternative (many small betas) and the latter is suitable for the sparse alternative (a very small number of large betas). By showing the asymptotic independence between the sum-type test and max-type test, the paper proposes a third test – Fisher’s combination test, which is robust to both dense and sparse alternatives. The paper derives the limiting null distributions of the three proposed tests and analyzes the asymptotic behavior of their powers. Monte Carlo simulations demonstrate the validity of the theoretical results developed in this paper. Empirical study shows the impact of high frequency (HF) factors when being added to a Fama–French-style factor model. We found that the HF effects are time varying. The proposed tests can help identify those time periods when the HF factors carry (significant) incremental information for the test asset. Our tests could shed light on market timing in a trading strategy.",http://www.sciencedirect.com/science/article/pii/S0304407624001581
Journal of Econometrics,2026,Realized drift,"Sébastien Laurent, Roberto Renò and Shuping Shi","Drift and volatility are two mainsprings of asset price dynamics. While volatilities have been studied extensively in the literature, drifts are commonly believed to be impossible to estimate and largely ignored in the literature. This paper shows how to detect drift using realized autocovariance implemented on high-frequency data. We use a theoretical treatment in which the classical model for the efficient price, an Itō semimartingale possibly contaminated by microstructure noise, is enriched with drift and volatility explosions. Our theory advocates a novel decomposition for realized variance into a drift and a volatility component, which leads to significant improvements in volatility forecasting.",http://www.sciencedirect.com/science/article/pii/S0304407624001593
Journal of Econometrics,2026,BUMVU estimators,"Aleksey Kolokolov, Roberto Renò and Patrick Zoi","We provide necessary and sufficient conditions for an (Unbiased) Block estimator to have Uniformly Minimum Variance. Our theory parallels the theory of UMVU estimation, the main novel insight being the focus on the covariance among blocks. We use this theory to derive lower variance bounds for block estimators of functionals of high-frequency volatility when the block size is fixed. We further show the relevance of the new theory for the classical problem of estimation of homoskedastic nonparametric regressions with varying mean. Finally, we introduce a new test for the presence of drift in financial data which exploits the precision of BUMVU estimators. The test shows abundant presence of drift in financial data.",http://www.sciencedirect.com/science/article/pii/S0304407624002938
Journal of Econometrics,2026,Probability distributions for realized covariance measures,Michael Stollenwerk,"Realized covariance measures (RCs) are an essential input for assessing the risks of different investment allocations. Thus, it is useful to model and forecast them. To this end, a realistic distributional assumption is needed. In this paper, we compare all probability distributions that have so far in the literature been applied to time-series of RCs. We derive them in a unified framework based on their stochastic representations using random lower and upper triangular matrices. These matrices are composed of standard normal distributions in the off-diagonal elements and χ-distributions on the diagonals (Barlett matrices). Furthermore, we derive a novel family of probability distributions (the t-Riesz distribution family), which has a property we call tail-homogeneity. This property means that in crisis periods, i.e. large RCs, our distribution family realistically assumes high dependence between the individual entries of the RCs. We show theoretically how all the distributions differ from each other, and how they are related to each other. In the empirical part, we demonstrate how the theoretical differences translate into differences in fit and forecasting performance. We show that our novel distribution family achieves the best fit. Out-of-sample forecasting comparisons further corroborate the excellent performance of our novel distribution family.",http://www.sciencedirect.com/science/article/pii/S0304407625000089
Journal of Econometrics,2026,A multivariate realized GARCH model,"Ilya Archakov, Peter Reinhard Hansen and Asger Lunde","We propose a novel class of multivariate GARCH models that incorporate realized measures of volatility and correlations. The key innovation is an unconstrained vector parametrization of the conditional correlation matrix, which enables the use of factor models for correlations. This approach elegantly addresses the main challenge faced by multivariate GARCH models in high-dimensional settings. As an illustration, we explore block correlation matrices that naturally simplify to linear factor models for the conditional correlations. The model is applied to the returns of nine assets, and its in-sample and out-of-sample performance compares favorably against several popular benchmarks.",http://www.sciencedirect.com/science/article/pii/S0304407625000946
Journal of Econometrics,2026,Bespoke realized volatility: Tailored measures of risk for volatility prediction,Andrew J. Patton and Haozhe Zhang,"Standard realized volatility (RV) measures estimate the latent volatility of an asset price using high frequency data with no reference to how or where the estimate will subsequently be used. This paper presents methods for “tailoring” the estimate of volatility to the application in which it will be used. For example, if the volatility measure will be used in a specific parametric forecasting model, it may be possible to exploit that knowledge to construct a better measure of volatility. We use methods from machine learning to estimate optimal “bespoke” RVs for heterogeneous autoregressive (HAR) and GARCH-X forecasting applications. We apply the methods to 886 U.S. stock returns and find that bespoke RVs significantly improve out-of-sample forecast performance. We find that, across a variety of volatility models, the bespoke RV places more weight on data from the end of the trade day, and that the optimal bespoke weights can be well-approximated by a simple parametric function.",http://www.sciencedirect.com/science/article/pii/S0304407625001769
Journal of Econometrics,2026,Testing for jumps in a discretely observed price process with endogenous sampling times,"Qiyuan Li, Yifan Li, Ingmar Nolte, Sandra Nolte and Shifan Yu","This paper introduces a novel nonparametric high-frequency jump test for discretely observed Itô semimartingales. Based on observations sampled recursively at first exit times from a symmetric double barrier, our method distinguishes between threshold exceedances caused by the Brownian component and jumps, which enables the construction of a feasible, noise-robust statistical test. Simulation results demonstrate superior finite-sample performance of our test compared to existing methods. An empirical analysis of NYSE-traded stocks provides clear statistical evidence for jumps, with the results highly robust to spurious detections.",http://www.sciencedirect.com/science/article/pii/S030440762500185X
