journal,year,title,authors,abstract,url
Journal of Economic Literature,2025,Examiner and Judge Designs in Economics: A Practitioner's Guide,"Eric Chyn, Brigham Frandsen and Emily Leslie","This article provides empirical researchers with an introduction and guide to research designs based on variation in judge and examiner tendencies to administer treatments or other interventions. We review the basic theory behind this research design, outline the assumptions under which the design identifies causal effects, describe empirical tests of the conditions for identification, and discuss trade-offs associated with choices researchers must make for estimation. We demonstrate concepts and best practices in an empirical case study that uses an examiner tendency research design to study the effects of pretrial detention.",https://www.aeaweb.org/doi/10.1257/jel.20241719
Journal of Economic Literature,2025,Social Preferences: Fundamental Characteristics and Economic Consequences,Ernst Fehr and Gary Charness,"We review the vast literature on social preferences by assessing what is known about their fundamental properties, their distribution in the broader population, and their consequences for important economic and political behaviors. We provide, in particular, an overview of the empirical characteristics of distributional preferences and how they are affected by merit, luck, and concerns for equality of opportunity. In addition, we discuss the evidence for reciprocity and guilt aversion and assess the empirical relevance of self-image and social image concerns in prosocial behaviors. The overall evidence indicates that a large majority of individuals have some sort of social preferences, while purely self-interested subjects are a minority. We also document converging insights from the lab and the field on the impact of wage inequality on work morale, employees' resistance to wage cuts, and the role of social preferences for cooperation and collective action, distributive politics, and individuals' selection into different occupations.",https://www.aeaweb.org/doi/10.1257/jel.20241391
Journal of Economic Literature,2025,"Of Markets and Marriages: A Multidisciplinary, Multi-book Review Essay of Recent Work on the Causes of US Poverty",Elizabeth Oltmans Ananat,"How is it that in perhaps the richest country in the history of the world such a large number of people struggle to acquire the basic necessities of life? Clearly, merely increasing the total quantity of goods and services produced in the market does not address this core problem. I review new work both inside and outside of economics that seeks to understand the persistence of poverty in the United States. With a particular focus on Desmond (2023) and Kearney (2023), I draw out the hypotheses in this work, suggest interesting avenues for future research, and discuss potential policy implications.",https://www.aeaweb.org/doi/10.1257/jel.20241734
Journal of Economic Literature,2025,Aggregate Shocks and the Formation of Preferences and Beliefs,Paola Giuliano and Antonio Spilimbergo,"A growing body of work highlights how aggregate shocks shape preferences and beliefs. This review synthesizes findings from sociology, social psychology, and economics to explore the significance of these shocks, how the period in which they are experienced matters, and their lasting effects. It examines economic shocks such as recessions, inflation, and trade shocks, alongside noneconomic shocks like migrations, wars, terrorist attacks, pandemics, and natural disasters. Key conclusions emerge: aggregate shocks influence political preferences, risk attitudes, and institutional trust; experiences during young adulthood have stronger, enduring impacts; and economic shocks generally shift preferences toward the political right, while noneconomic yield more varied outcomes depending on the context. The review also evaluates empirical methodologies, their limitations, and mechanisms underlying these effects. By analyzing how shocks alter societal values and behaviors across generations, this work provides insights into the long-term consequences of major disruptions on individual and collective decision-making.",https://www.aeaweb.org/doi/10.1257/jel.20241674
Journal of Economic Literature,2025,Consumer Credit Reporting Data,"Christa Gibbs, Benedict Guttman-Kenney, Donghoon Lee, Scott Nelson, Wilbert van der Klaauw and Jialan Wang","Since the 2000s, economists across fields have increasingly used consumer credit reporting data for research. We introduce readers to the economics and institutional details of these data. Using examples from the literature, we provide practical guidance on how to use these data to construct economic measures of borrowing, consumption,credit access, financial distress, and geographic mobility. We explain what credit scores measure and why. We highlight how researchers can access credit reporting data via existing datasets or by creating new datasets, including by linking credit reporting data with surveys and external datasets.",https://www.aeaweb.org/doi/10.1257/jel.20241737
Journal of Economic Literature,2025,"Culture, Institutions, and Social Equilibria: A Framework",Daron Acemoglu and James A. Robinson,"This paper proposes a new framework for studying the interplay between culture and institutions. We interpret culture as a repertoire, consisting of (cultural) attributes and allowing rich cultural responses to political changes. Combinations of attributes produce cultural configurations, which provide social meaning, coordination, and political justification. Our framework has several distinctive features. First, it proposes a ""systems approach"" to culture: the meaning and function of attributes are determined within the whole configuration and political equilibrium. Second, it emphasizes discontinuous or ""saltational"" changes in culture—rather than gradual, evolutionary changes—as attributes are reconnected and acquire new meanings in response to evolving circumstances and as outcomes in ongoing ""cultural struggles."" Third, our frame work puts the spotlight on how fluidly different cultures can respond to conditions, depending on the nature of their attributes and constraints on their connections. Finally, it enriches the study of the codetermination of political, institutional and cultural outcomes.",https://www.aeaweb.org/doi/10.1257/jel.20241680
Journal of Economic Literature,2025,"Bauer, Jean-Martin. The New Breadline: Hunger and Hope in the Twenty-First Century",Marc Bellemare,,https://www.aeaweb.org/doi/10.1257/jel.63.2.693.r1
Journal of Economic Literature,2025,"Bessy, Christian. Expropriation by Law: Intellectual Property, Value and Labor",Lisa Larrimore Ouellette,,https://www.aeaweb.org/doi/10.1257/jel.63.2.693.r2
Journal of Economic Literature,2025,"Jacoby, Melissa B. Unjust Debts: How Our Bankruptcy System Makes America More Unequal",Anat R. Admati,,https://www.aeaweb.org/doi/10.1257/jel.63.2.693.r3
Journal of Economic Literature,2025,"Kahrl, Andrew W. The Black Tax: 150 Years of Theft, Exploitation, and Dispossession in America",Dania V. Francis,,https://www.aeaweb.org/doi/10.1257/jel.63.2.693.r4
