journal,year,title,authors,abstract,url
Journal of Economic Literature,2026,Artificial Intelligence–Powered (Finance) Scholarship,Robert Novy-Marx and Mihail Velikov,"This paper describes a process for generating academic papers using large language models (LLMs) and demonstrates this process's efficacy by producing hundreds of complete papers on stock return predictability, a topic well-suited for our illustration. After mining over 30,000 potential return predictors from accounting data, we generate template reports for 95 signals passing rigorous criteria from the Novy-Marx and Velikov (2024) Assaying Anomalies protocol. These templates detail signal performance predicting returns using a wide array of tests and benchmark performance against more than 200 documented anomalies. Finally, for each template we use state-of-the-art LLMs to generate multiple complete versions of academic papers with distinct theoretical justifications for the observed return predictability, incorporating citations to literature supporting their respective claims. This experiment illustrates the potential of artificial intelligence (AI) for enhancing financial research efficiency, but also serves as a cautionary tale, illustrating how it can be abused to industrialize hypothesizing after results are known (HARKing).",https://www.aeaweb.org/doi/10.1257/jel.20251821
Journal of Economic Literature,2026,W. E. B. Du Bois and Economics: A Reappraisal,Guy Numa and Sammy Zahran,"W. E. B. Du Bois is widely considered one of the most prominent American intellectuals of the twentieth century. While Du Bois has been praised for his contributions to sister disciplines, his contributions to economics have been underappreciated. Drawing upon published and unpublished sources documenting his academic training, his involvement in the economics profession, and his overall scholarship, this article shows that Du Bois made enduring contributions to economic science. We trace his intellectual formation as a student of the German Historical School of economics, analyzing his pioneering use of empirical methods to document the plight of Black Americans. Du Bois emphasized the role of power and institutions in structuring distributional outcomes and the importance of economic and social uplift. One implication is that by conducting intra- and intergroup analyses of racial, health, occupational, income, and wealth disparities, Du Bois anticipated the empirical and theoretical aims of stratification economics.",https://www.aeaweb.org/doi/10.1257/jel.20251789
Journal of Economic Literature,2026,Innovation-Driven Entrepreneurship,"Tristan L. Botelho, Daniel C. Fehder and Yael V. Hochberg","Innovation-driven entrepreneurship (IDE) is viewed as a key driver of economic growth. This review provides a structured guide to the key themes of the growing literature on the economics of IDE, which differs substantially in its nature from other types of entrepreneurship. We describe the key themes of the growing literature, speaking to the central economic questions raised by IDE, including who enters into IDE activity, the nature of its founding teams and organization, its financing, the strategic choices faced by IDE founders, and policy and programs to support IDE activity. The tendency of much of the empirical economics literature to date to confound IDE with other types of entrepreneurial ventures offers a significant opportunity for research focused specifically on the IDE phenomenon.",https://www.aeaweb.org/doi/10.1257/jel.20251484
Journal of Economic Literature,2026,Doctor Decision-Making and Patient Outcomes,"Janet Currie, W. Bentley MacLeod and Kate Musen","Doctors often treat similar patients differently, which affects health outcomes and medical spending. We assess the recent literature on doctor decision-making through the lens of a model that incorporates diagnostic and procedural skills, beliefs, incentives, and differences in patient pools. Decision-making is affected by beliefs, training, experience, peer effects, financial incentives, and time constraints. Interventions to improve decision-making include providing information, guidelines, and technologies like electronic medical records and algorithmic decision tools. Economists have made progress in understanding doctor decision-making, but applications of that knowledge to improving health care are still limited.",https://www.aeaweb.org/doi/10.1257/jel.20251762
Journal of Economic Literature,2026,How Do Central Banks Control Inflation? A Guide for the Perplexed,Laura Castillo-Martinez and Ricardo Reis,"Central banks have a primary goal of price stability. They pursue it using tools that include the interest they pay on reserves, the size and the composition of their balance sheet, and the dividends they distribute to the fiscal authority. We describe the economic theories that justify the central bank's ability to control inflation and discuss their relative effectiveness in light of the historical record. We present alternative approaches as consistent with each other, as opposed to conflicting ideological camps. While interest-rate setting may often be superior, having both a monetarist pillar and fiscal support is essential, and at times pegging the exchange rate or monetizing the debt is inevitable.",https://www.aeaweb.org/doi/10.1257/jel.20251429
Journal of Economic Literature,2026,No Taxation without Administration: Bringing the State Back into the Public Finance of Developing Countries,Anders D. Jensen and Jonathan L. Weigel,"The empirical economics literature on taxation in developing countries has centered on the importance of third-party information for enforcement. Yet, while surely a long-run objective, leveraging such information remains out of reach in many developing countries due to largely informal economies and low state capacity. This article examines an emerging complementary literature focused on strengthening the ""sinews"" of state capacity: tax administration. We argue that reforms to the organizational structure, personnel management, and task management of tax authorities have potential to raise tax capacity in developing countries. We also argue that efforts to improve the state's legitimacy—popular acceptance of its right to tax—can increase capacity and may complement investments in tax administration. Our approach bridges a long-standing divide between how scholars in public finance and political economy approach tax capacity building in developing countries.",https://www.aeaweb.org/doi/10.1257/jel.20251760
Journal of Economic Literature,2026,"The Economic Impacts of Artificial Intelligence: A Multidisciplinary, Multi-book Review",Kevin A. Bryan,"This essay reviews seven books from the past dozen years by social scientists examining the economic impact of artificial intelligence (AI). These works offer valuable insights—AI as cheap prediction, architectural barriers to adoption, data as an economic asset, implementation challenges. However, they offer little guidance when it comes to the transformative scenarios considered plausible by many AI researchers. Economists have made great progress in explaining how to use AI within existing production functions, who benefits, and why; what remains needed is rigorous advice to policymakers concerned about rapid increases in labor churn, scientific development, labor–capital shifts, or existential risk.",https://www.aeaweb.org/doi/10.1257/jel.20251799
Journal of Economic Literature,2026,"Alderman, Brianna L. and Roger D. Blair. Monopsony in Labor Markets: Theory, Evidence, and Public Policy",Marshall Steinbaum,,https://www.aeaweb.org/doi/10.1257/jel.64.1.301.r1
Journal of Economic Literature,2026,"Allensworth, Rebecca Haw. The Licensing Racket: How We Decide Who Is Allowed to Work, and Why It Goes Wrong",Gabriel Scheffler,,https://www.aeaweb.org/doi/10.1257/jel.64.1.301.r2
Journal of Economic Literature,2026,"Bach, Maria. Relocating Development Economics: The First Generation of Modern Indian Economists",Alex M. Thomas,,https://www.aeaweb.org/doi/10.1257/jel.64.1.301.r3
Journal of Economic Literature,2026,"Chew, Donald H., Jr. The Making of Modern Corporate Finance: A History of the Ideas and How They Help Build the Wealth of Nations",Yueran Ma,,https://www.aeaweb.org/doi/10.1257/jel.64.1.301.r4
Journal of Economic Literature,2026,"Goldstein, Jorge. Patenting Life: Tales from the Front Lines of Intellectual Property and the New Biology",Josh Lerner,,https://www.aeaweb.org/doi/10.1257/jel.64.1.301.r5
Journal of Economic Literature,2026,"Ogilvie, Sheilagh. Controlling Contagion: Epidemics and Institutions from the Black Death to Covid",Vellore Arthi,,https://www.aeaweb.org/doi/10.1257/jel.64.1.301.r6
Journal of Economic Literature,2026,"Palladino, Lenore. Good Company: Economic Policy after Shareholder Primacy",Ryan Bubb,,https://www.aeaweb.org/doi/10.1257/jel.64.1.301.r7
Journal of Economic Literature,2026,"Volckart, Oliver. The Silver Empire: How Germany Created Its First Common Currency",William Roberds,,https://www.aeaweb.org/doi/10.1257/jel.64.1.301.r8
