journal,year,title,authors,abstract,url
Journal of European Economic Association,2026,Negative Rates and the Effective Lower Bound: Theory and Evidence,"Michael McLeay, Silvana Tenreyro and Lukas  von dem Berge","With the monetary policy lower bound a re-emerging concern in some locations, we present new insights on the impact of negative policy rates. We develop a new theoretical model to match the empirical evidence on their effects. The model features a heterogeneous, oligopolistic banking sector where loan pricing is determined in part by the availability of deposit funding and in part by wholesale funding. The use of non-deposit funding ensures that the bank lending channel of negative rates remains active. We explore the impact of the policy on different types of banks: High-deposit banks may experience a fall in interest margins and profitability, which can result in reduced lending. But this is more than compensated for by greater lending from low-deposit banks. We embed this banking sector in an open-economy macroeconomic model, featuring exchange-rate and capital market transmission channels, which continue to work as normal when rates are negative. These non-bank channels, combined with general equilibrium effects and an active bank lending channel, mean that the transmission of negative rates is only somewhat weaker than the transmission of conventional policy.",http://hdl.handle.net/10.1093/jeea/jvaf053
Journal of European Economic Association,2026,Schumpeter Lecture 2025: The New Causal Macroeconomics of Surveys and Experiments,Olivier Coibion and Yuriy Gorodnichenko,"We discuss how randomized control trials (RCTs) can be used to study the causal effects of expectations on the decisions of households, firms, and other economic agents. Specifically, information provision in RCTs can create exogenous variation in the beliefs of survey participants and thus can address a key identification challenge that has plagued research efforts focused on understanding the role of expectations in shaping economic decisions. When linked to either external information on their actions or subsequent survey waves that measure their ex-post decisions, RCTs can provide clear causal identification of the passthrough from expectations to decisions. We review recent evidence using this strategy and discuss potential challenges associated with this approach.",http://hdl.handle.net/10.1093/jeea/jvaf050
Journal of European Economic Association,2026,Political Information and Network Effects,"Georgy Egorov, Sergei Guriev, Maxim Mironov and Ekaterina Zhuravskaya","Why do political campaigns so often yield unexpected results? We address this question by separately estimating the direct effect of a campaign on targeted voters and the indirect effect on others in the same social environment. Partnering with a local NGO during Argentina’s 2023 presidential election, we randomized the distribution of leaflets providing an expert assessment of the likely consequences of certain proposals by the outsider candidate Javier Milei. Exploiting Argentina’s unique sub-precinct election reporting system, we show that the campaign reduced Milei’s support among directly treated voters, as expected, but increased his support among untreated voters in treated precincts, producing a backfiring, net-positive effect for Milei. A pre-registered replication confirmed these opposite-signed effects. Using theory and a survey experiment, we show that the minority of voters who disbelieved the campaign were more motivated to discuss it with peers, convincing them to support Milei. This mobilization effect appears especially likely when campaigns criticize outsider candidates. Our results highlight how campaigns aimed at anti-elite candidates can unintentionally mobilize support for them.",http://hdl.handle.net/10.1093/jeea/jvaf052
Journal of European Economic Association,2026,Safe Spaces for Teenage Girls in a Time of Crisis,"Oriana Bandiera, Niklas Buehren, Markus Goldstein, Imran Rasul and Andrea Smurra","Adolescent girls across low-income countries face disadvantages stemming from limited agency over their bodies and barriers to investing in their human capital. We study how these outcomes are shaped in times of aggregate crisis, in the context of the 2014–2016 Ebola epidemic in Sierra Leone. This is a setting in which adolescent girls have long faced disadvantage because of a high prevalence of sexual exploitation and violence towards them. Our study is based around an evaluation of a club-based intervention for young women implemented during the epidemic. We track 2,700 girls aged 12–18 from the eve of the epidemic in 2014 to just prior to when Sierra Leone was declared Ebola free in 2016. The club-based intervention provides a safe space where girls can spend time away from men, receive advice on reproductive health, vocational training, and/or microfinance. During the epidemic all schools were closed. We show that without the protection of time in school, in control villages teenage girls spent more time with men, pregnancy rates rose sharply, and their school enrolment dropped post-epidemic. The provision of a safe space breaks this causal chain: It enables girls in treated villages to allocate time away from men and reduce out-of-wedlock pregnancies. These effects are most pronounced in places where girls face the highest predicted pregnancy risks. In such locations, the intervention also increases school re-enrolment rates post-epidemic. To further pin down mechanisms, we exploit a second layer of randomization of input bundles offered by clubs. This reinforces the idea that the safe space component is critical to driving outcomes for teenage girls. Our analysis has implications for school closures during health crisis in contexts where young women face sexual violence, highlighting the protective and lasting role safe spaces can provide in such times.",http://hdl.handle.net/10.1093/jeea/jvaf026
Journal of European Economic Association,2026,Mobile Apps and Targeted Advertising: Competitive Effects of Data Sharing,Ding Li and Hsin-Tien Tsai,"This paper examines the impact of data sharing among mobile apps, leveraging iOS’s policy that limits tracking users using identifiers. We find that this restriction decreases average new downloads by 3.96%. The effect is primarily driven by large apps that heavily rely on third-party data to acquire users (resulting in overlapping effects), and developers who lack first-party data (resulting in a lack of information advantage). However, new app introductions, particularly by first-time developers, decrease following the restriction, implying that large incumbent apps may gain increased dominance in the long run and offset their reduction in market concentration from user acquisition.",http://hdl.handle.net/10.1093/jeea/jvaf025
Journal of European Economic Association,2026,"Sparking Knowledge: Early Technology Adoption, Innovation Ability and Long-Run Growth",Björn Brey,"This paper examines the benefits of first-mover advantages in technology adoption. It documents that the early adoption of electricity across late 19th-century Switzerland was conducive to local economic development not just in the short run but also in the long run. By exploiting exogenous variation in waterpower potential, alongside rapid advancements in power transmission technology, these findings can be interpreted as causal. The main mechanism through which differences in economic development persist is increased human capital accumulation and innovativeness. In contrast, I was unable to uncover any evidence supporting a number of alternative mechanisms: (1) persistent differences in the use of electricity, (2) household electrification, (3) local gains from resource windfalls, (4) returns to scale and physical capital accumulation, and (5) population agglomeration.",http://hdl.handle.net/10.1093/jeea/jvaf034
Journal of European Economic Association,2026,Labor Market Dynamics and Growth,Jake Bradley and Axel Gottfries,"This paper seeks to understand the implications of incorporating economic growth into a search-theoretic model of the labor market. To this end, a technological diffusion process is embedded into the canonical search and matching model of the labor market. New matches imitate the production process of incumbents. Although the canonical model is only modified slightly, there are stark differences in economic intuition across the two models. Market tightness is equilibrated through a different margin, and comparative statics of the two models are qualitatively different. Additionally, the model with endogenous growth—consistent with empirical data—generates stronger unemployment cyclicality than a similarly calibrated model without endogenous growth.",http://hdl.handle.net/10.1093/jeea/jvaf027
Journal of European Economic Association,2026,The Pick of the Crop: Agricultural Practices and Clustered Networks in Village Economies,Andre Groeger and Yanos Zylberberg,"This paper studies how social networks (might fail to) shape agricultural practices. We exploit (1) a unique census of agricultural production nested within delineated land parcels and (2) social network data within four repopulated villages of rural Vietnam. In the first step, we extract exogenous variation in network formation from home locations within the few streets that compose each village (populated through staggered population resettlement), and we estimate the return to social links in the adoption of highly productive crops. We find a large network multiplier in apparent contradiction with low adoption rates. In the second step, we study the structure of network formation to explain this puzzle: Social networks display large homophily, and valuable links between heterogeneous households are rare. Due to the clustered nature of networks and the dynamic, endogenous propagation of agricultural practices, there are decreasing returns to social links, and policies targeting “inbetweeners” are most able to mitigate this issue.",http://hdl.handle.net/10.1093/jeea/jvaf028
Journal of European Economic Association,2026,The Persistent Effect of Competition on Prosociality,"Fabian Kosse, Ranjita Rajan and Michela Tincani","We present the first causal evidence on the persistent impact of enduring competition on prosociality. Inspired by the literature on tournaments within firms, which shows that competitive compensation schemes reduce cooperation in the short-run, we explore if enduring exposure to a competitive environment persistently attenuates prosociality. Based on a large-scale randomized intervention in the education context, we find lower levels of prosociality for students who just experienced a 2-year competition period. Four-year follow-up data indicate that the effect persists and generalizes, suggesting a change in traits and not only in behavior.",http://hdl.handle.net/10.1093/jeea/jvaf030
Journal of European Economic Association,2026,"Markups, Production Relocation, and the Gains from Trade",Hamid Firooz and Gunnar Heins,"This paper develops a multisector, multicountry model of international trade and profit shifting that embeds imperfect competition into Eaton and Kortum (2002)’s Ricardian trade model and allows markup distributions for both imports and exports to vary across sectors and countries. We first show theoretically how the gains from trade liberalization depend on the markup distribution for imported relative to exported goods. To bring the model to the data, we estimate both trade elasticities and a rich set of country- and industry-specific import demand elasticities for over 36,000 distinct sector-country pairs. We find that cross-country heterogeneities in export markups relative to import markups are a first-order determinant of the gains from trade and especially the welfare losses from tariffs. By flexibly taking heterogeneity in markups into account, these losses are up to three times larger for net exporters of high-markup products. We apply our model to the 2018–19 U.S.–China trade war and show that U.S. welfare losses from the tariff war are more than twice as high once markups and profit shifting are taken into account, whereas China benefited slightly overall.",http://hdl.handle.net/10.1093/jeea/jvaf029
