journal,year,title,authors,abstract,url
Journal of Financial Economics,2022,Measuring the welfare cost of asymmetric information in consumer credit markets,"Anthony DeFusco, Huan Tang and Constantine Yannelis","Information asymmetries are known in theory to lead to inefficiently low credit provision, yet empirical estimates of the resulting welfare losses are scarce. This paper leverages a randomized experiment conducted by a large fintech lender to estimate welfare losses arising from asymmetric information in the market for online consumer credit. Building on methods from the insurance literature, we show how exogenous variation in interest rates can be used to estimate borrower demand and lender cost curves and recover implied welfare losses. While asymmetric information generates large equilibrium price distortions, we find only small overall welfare losses, particularly for high-credit-score borrowers.",http://www.sciencedirect.com/science/article/pii/S0304405X22001866
Journal of Financial Economics,2022,Monetary policy expectation errors,"Maik Schmeling, Andreas Schrimpf and Sigurd A.M. Steffensen","How are financial markets pricing the monetary policy outlook? We use surveys to decompose excess returns on money market instruments into expectation errors and term premia. Excess returns are primarily driven by expectation errors, whereas term premia are negligible. Investors face challenges when learning about the Federal Reserve’s response to large, but infrequent, negative shocks in real-time. Rather than reflecting risk compensation, excess returns stem from investors underestimating how much the central bank eases policy in response to such rare shocks. We show, for the US and internationally, that expectation errors imply excess return predictability from past stock returns.",http://www.sciencedirect.com/science/article/pii/S0304405X22001908
Journal of Financial Economics,2022,Liquidity in the global currency market,Angelo Ranaldo and Paolo Santucci de Magistris,"We study the liquidity of the global currency market by analyzing the price impact of trading volume. We analyze a decade of CLS intraday data representative of global foreign exchange (FX) trading by developing a refinement of the popular Amihud (2002) illiquidity measure that we call realized Amihud, which is the ratio between realized volatility and trading volume. Inversely related to market depth, price impact increases with transaction costs, money market stress, uncertainty, and risk aversion. Furthermore, we analyze whether and how liquidity begets price efficiency by looking at violations of the “triangular” no-arbitrage condition. We find that dollar-based currencies offer a lower trading impact supporting price efficiency.",http://www.sciencedirect.com/science/article/pii/S0304405X22001891
Journal of Financial Economics,2022,Capital forbearance in the bank recovery and resolution game,"Natalya Martynova, Enrico Perotti and Javier Suarez","We analyze the strategic interaction between undercapitalized banks and a supervisor in a recovery and resolution framework in which early recapitalizations can prevent later disorderly failures. Capital forbearance emerges because reputational, political, economic and fiscal costs undermine supervisors’ commitment to publicly resolve the banks that miss the request to privately recover. Under a weaker resolution threat, banks’ incentives to recover are lower and supervisors may end up having to resolve more banks. When marginal resolution costs steeply increase with the scale of the intervention, private recovery actions become strategic complements, producing too-many-to-resolve equilibria with high forbearance and high systemic costs.",http://www.sciencedirect.com/science/article/pii/S0304405X2200191X
Journal of Financial Economics,2022,Shale shocked: Cash windfalls and household debt repayment,"J. Anthony Cookson, Erik P. Gilje and Rawley Z. Heimer","Using individual credit bureau data matched with cash windfalls from fracking, we estimate that windfall recipients reduce debt-to-income by 2.4 percentage points relative to no-windfall controls. Debt repayment effects are 3 times stronger for subprime individuals than for prime individuals. Based on the timing of upfront versus continuing cash payments, debt repayment coincides with the timing of payments but not with news about future payments. These findings present a challenge for purely forward-looking models of debt. Indeed, when we incorporate a windfall shock into a forward-looking model, the model predicts an increase in debt that runs counter to our evidence of debt repayment.",http://www.sciencedirect.com/science/article/pii/S0304405X22002069
Journal of Financial Economics,2022,Product market strategy and corporate policies,Jakub Hajda and Boris Nikolov,"We examine how product life cycle affects investment and financing by estimating an industry equilibrium model that embeds product portfolio characteristics. In the model, firms trade off higher profitability of newer products versus product introduction costs. Using product-level data, we find that the product dimension is critical in quantitatively explaining cash flow dynamics, corporate policies, and industry structure. We show that product introductions and capital investment are complements and that product dynamics incentivize preserving more debt capacity. Our estimates reveal that product life cycle is more pronounced for firms with smaller and more concentrated product portfolios as well as those with high product variety.",http://www.sciencedirect.com/science/article/pii/S0304405X2200188X
Journal of Financial Economics,2022,The life of the counterparty: Shock propagation in hedge fund-prime broker credit networks,"Mathias S. Kruttli, Phillip J. Monin and Sumudu Watugala","Using novel credit data, we show that hedge fund borrowing is significantly overcollateralized, primarily with rehypothecable securities. An idiosyncratic liquidity shock to a major prime broker significantly decreases credit to connected hedge funds. The dominant channel behind this shock transmission is credit supply reduction rather than precautionary demand reduction. Funds posting more rehypothecable collateral are less affected because their collateral alleviates prime broker liquidity constraints. Exposed funds subsequently have lower aggregate credit with worse terms, suggesting imperfect substitutability across hedge fund credit sources. Funds subject to the decrease in balance sheet leverage subsequently increase portfolio illiquidity, embedded leverage, and derivatives exposure.",http://www.sciencedirect.com/science/article/pii/S0304405X2200054X
Journal of Financial Economics,2022,Partisan residential sorting on climate change risk,"Asaf Bernstein, Stephen B. Billings, Matthew T. Gustafson and Ryan Lewis","Is climate change partisanship reflected in residential decisions? Comparing individual properties in the same zip code with similar elevation and proximity to the coast, houses exposed to sea level rise (SLR) are increasingly more likely to be owned by Republicans and less likely to be owned by Democrats. We find a partisan residency gap for even moderately SLR exposed properties of more than 5 percentage points, which has more than doubled over the past six years. Findings are unchanged controlling flexibly for other individual demographics and a variety of granular property characteristics, including the value of the home. Residential sorting manifests among owners regardless of occupancy, but not among renters, and is driven by long-run SLR exposure but not current flood risk. Anticipatory sorting on climate change suggests that households that are most likely to vote against climate friendly policies and least likely to adapt may ultimately bear the burden of climate change.",http://www.sciencedirect.com/science/article/pii/S0304405X22000757
Journal of Financial Economics,2022,What moves treasury yields?,Emanuel Moench and Soroosh Soofi-Siavash,"We identify a yield news shock as an innovation that does not move Treasury yields contemporaneously but explains a maximum share of their future variation. Yields do not immediately respond to the news shock as the initial reaction of term premiums and expected short rates offset each other. While the impact on term premiums fades quickly, expected short rates and thus yields decline persistently. As a result, the shock explains a staggering 50% of Treasury yield variation several years out. A positive yield news shock is associated with a coincident sharp increase in stock and bond market volatility, a contemporaneous response of leading economic indicators, and is followed by a persistent decline of real activity and inflation which is accommodated by the Federal Reserve. Identified shocks to realized stock market volatility and business cycle news imply similar impulse responses and together capture the bulk of variation of the yield news shock.",http://www.sciencedirect.com/science/article/pii/S0304405X22000770
Journal of Financial Economics,2022,Financial transaction taxes and the informational efficiency of financial markets: A structural estimation,"Marco Cipriani, Antonio Guarino and Andreas Uthemann","We develop a new methodology to estimate the impact of a financial transaction tax (FTT) on financial market outcomes. In our sequential trading model, there are price-elastic noise and informed traders. We estimate the model through maximum likelihood for a sample of 60 NYSE stocks in 2017. We quantify the effect of introducing an FTT given the parameter estimates. An FTT increases the proportion of informed trading, improves information aggregation, but lowers trading volume and welfare. For some less liquid stocks, however, an FTT blocks private information aggregation.",http://www.sciencedirect.com/science/article/pii/S0304405X22000940
