journal,year,title,authors,abstract,url
Journal of the American Statistical Association,2023,A Tale of Two Datasets: Representativeness and Generalisability of Inference for Samples of Networks,"Pavel N. Krivitsky, Pietro Coletti and Niel Hens","The last two decades have seen considerable progress in foundational aspects of statistical network analysis, but the path from theory to application is not straightforward. Two large, heterogeneous samples of small networks of within-household contacts in Belgium were collected using two different but complementary sampling designs: one smaller but with all contacts in each household observed, the other larger and more representative but recording contacts of only one person per household. We wish to combine their strengths to learn the social forces that shape household contact formation and facilitate simulation for prediction of disease spread, while generalising to the population of households in the region. To accomplish this, we describe a flexible framework for specifying multi-network models in the exponential family class and identify the requirements for inference and prediction under this framework to be consistent, identifiable, and generalisable, even when data are incomplete; explore how these requirements may be violated in practice; and develop a suite of quantitative and graphical diagnostics for detecting violations and suggesting improvements to candidate models. We report on the effects of network size, geography, and household roles on household contact patterns (activity, heterogeneity in activity, and triadic closure). Supplementary materials for this article are available online.",http://hdl.handle.net/10.1080/01621459.2023.2242627
Journal of the American Statistical Association,2023,"Discussion of “A Tale of Two Datasets: Representativeness and Generalisability of Inference for Samples of Networks” by Pavel N. Krivitsky, Pietro Coletti, and Niel Hens",Michael Schweinberger and Cornelius Fritz,,http://hdl.handle.net/10.1080/01621459.2023.2223680
Journal of the American Statistical Association,2023,"Power and Multicollinearity in Small Networks: A Discussion of “Tale of Two Datasets: Representativeness and Generalisability of Inference for Samples of Networks” by Krivitsky, Coletti, and Hens",George G. Vega Yon,,http://hdl.handle.net/10.1080/01621459.2023.2252041
Journal of the American Statistical Association,2023,Discussion of “A Tale of Two Datasets: Representativeness and Generalisability of Inference for Samples of Networks”,Nynke M. D. Niezink,,http://hdl.handle.net/10.1080/01621459.2023.2257267
Journal of the American Statistical Association,2023,Rejoinder to Discussion of “A Tale of Two Datasets: Representativeness and Generalisability of Inference for Samples of Networks”,"Pavel N. Krivitsky, Pietro Coletti and Niel Hens",,http://hdl.handle.net/10.1080/01621459.2023.2280383
Journal of the American Statistical Association,2023,Modeling Postoperative Mortality in Older Patients by Boosting Discrete-Time Competing Risks Models,"Moritz Berger, Ana Kowark, Rolf Rossaint, Mark Coburn and Matthias Schmid","Elderly patients are at a high risk of suffering from postoperative death. Personalized strategies to improve their recovery after intervention are therefore urgently needed. A popular way to analyze postoperative mortality is to develop a prognostic model that incorporates risk factors measured at hospital admission, for example, comorbidities. When building such models, numerous issues must be addressed, including censoring and the presence of competing events (such as discharge from hospital alive). Here we present a novel survival modeling approach to investigate 30-day inpatient mortality following intervention. The proposed method accounts for both grouped event times, for example, measured in 24-hour intervals, and competing events. Conceptually, the method is embedded in the framework of generalized additive models for location, scale, and shape (GAMLSS). Model fitting is performed using a component-wise gradient boosting algorithm, which allows for additional regularization steps via stability selection. We used this new modeling approach to analyze data from the Peri-interventional Outcome Study in the Elderly (POSE), which is a recent cohort study that enrolled 9862 elderly inpatients undergoing intervention under anesthesia. Application of the proposed boosting algorithm yielded six important risk factors (including both clinical variables and interventional characteristics) that either contributed to the hazard of death or to discharge from hospital alive. Supplementary materials for this article are available online.",http://hdl.handle.net/10.1080/01621459.2023.2208388
Journal of the American Statistical Association,2023,Covariate-Informed Latent Interaction Models: Addressing Geographic & Taxonomic Bias in Predicting Bird–Plant Interactions,"Georgia Papadogeorgou, Carolina Bello, Otso Ovaskainen and David B. Dunson","Reductions in natural habitats urge that we better understand species’ interconnection and how biological communities respond to environmental changes. However, ecological studies of species’ interactions are limited by their geographic and taxonomic focus which can distort our understanding of interaction dynamics. We focus on bird–plant interactions that refer to situations of potential fruit consumption and seed dispersal. We develop an approach for predicting species’ interactions that accounts for errors in the recorded interaction networks, addresses the geographic and taxonomic biases of existing studies, is based on latent factors to increase flexibility and borrow information across species, incorporates covariates in a flexible manner to inform the latent factors, and uses a meta-analysis dataset from 85 individual studies. We focus on interactions among 232 birds and 511 plants in the Atlantic Forest, and identify 5% of pairs of species with an unrecorded interaction, but posterior probability that the interaction is possible over 80%. Finally, we develop a permutation-based variable importance procedure for latent factor network models and identify that a bird’s body mass and a plant’s fruit diameter are important in driving the presence of species interactions, with a multiplicative relationship that exhibits both a thresholding and a matching behavior. Supplementary materials for this article are available online.",http://hdl.handle.net/10.1080/01621459.2023.2208390
Journal of the American Statistical Association,2023,Analyzing Big EHR Data—Optimal Cox Regression Subsampling Procedure with Rare Events,Nir Keret and Malka Gorfine,"Massive sized survival datasets become increasingly prevalent with the development of the healthcare industry, and pose computational challenges unprecedented in traditional survival analysis use cases. In this work we analyze the UK-biobank colorectal cancer data with genetic and environmental risk factors, including a time-dependent coefficient, which transforms the dataset into “pseudo-observation” form, thus, critically inflating its size. A popular way for coping with massive datasets is downsampling them, such that the computational resources can be afforded by the researcher. Cox regression has remained one of the most popular statistical models for the analysis of survival data to-date. This work addresses the settings of right censored and possibly left-truncated data with rare events, such that the observed failure times constitute only a small portion of the overall sample. We propose Cox regression subsampling-based estimators that approximate their full-data partial-likelihood-based counterparts, by assigning optimal sampling probabilities to censored observations, and including all observed failures in the analysis. The suggested methodology is applied on the UK-biobank for building a colorectal cancer risk-prediction model, while reducing the computation time and memory requirements. Asymptotic properties of the proposed estimators are established under suitable regularity conditions, and simulation studies are carried out to evaluate their finite sample performance. Supplementary materials for this article are available online.",http://hdl.handle.net/10.1080/01621459.2023.2209349
Journal of the American Statistical Association,2023,Accommodating Time-Varying Heterogeneity in Risk Estimation under the Cox Model: A Transfer Learning Approach,"Ziyi Li, Yu Shen and Jing Ning","Transfer learning has attracted increasing attention in recent years for adaptively borrowing information across different data cohorts in various settings. Cancer registries have been widely used in clinical research because of their easy accessibility and large sample size. Our method is motivated by the question of how to use cancer registry data as a complement to improve the estimation precision of individual risks of death for inflammatory breast cancer (IBC) patients at The University of Texas MD Anderson Cancer Center. When transferring information for risk estimation based on the cancer registries (i.e., source cohort) to a single cancer center (i.e., target cohort), time-varying population heterogeneity needs to be appropriately acknowledged. However, there is no literature on how to adaptively transfer knowledge on risk estimation with time-to-event data from the source cohort to the target cohort while adjusting for time-varying differences in event risks between the two sources. Our goal is to address this statistical challenge by developing a transfer learning approach under the Cox proportional hazards model. To allow data-adaptive levels of information borrowing, we impose Lasso penalties on the discrepancies in regression coefficients and baseline hazard functions between the two cohorts, which are jointly solved in the proposed transfer learning algorithm. As shown in the extensive simulation studies, the proposed method yields more precise individualized risk estimation than using the target cohort alone. Meanwhile, our method demonstrates satisfactory robustness against cohort differences compared with the method that directly combines the target and source data in the Cox model. We develop a more accurate risk estimation model for the MD Anderson IBC cohort given various treatment and baseline covariates, while adaptively borrowing information from the National Cancer Database to improve risk assessment. Supplementary materials for this article are available online.",http://hdl.handle.net/10.1080/01621459.2023.2210336
Journal of the American Statistical Association,2023,Mixed-Response State-Space Model for Analyzing Multi-Dimensional Digital Phenotypes,"Tianchen Xu, Yuan Chen, Donglin Zeng and Yuanjia Wang","Digital technologies (e.g., mobile phones) can be used to obtain objective, frequent, and real-world digital phenotypes from individuals. However, modeling these data poses substantial challenges since observational data are subject to confounding and various sources of variabilities. For example, signals on patients’ underlying health status and treatment effects are mixed with variation due to the living environment and measurement noises. The digital phenotype data thus shows extensive variabilities between- and within-patient as well as across different health domains (e.g., motor, cognitive, and speaking). Motivated by a mobile health study of Parkinson’s disease (PD), we develop a mixed-response state-space (MRSS) model to jointly capture multi-dimensional, multi-modal digital phenotypes and their measurement processes by a finite number of latent state time series. These latent states reflect the dynamic health status and personalized time-varying treatment effects and can be used to adjust for informative measurements. For computation, we use the Kalman filter for Gaussian phenotypes and importance sampling with Laplace approximation for non-Gaussian phenotypes. We conduct comprehensive simulation studies and demonstrate the advantage of MRSS in modeling a mobile health study that remotely collects real-time digital phenotypes from PD patients. Supplementary materials for this article are available online.",http://hdl.handle.net/10.1080/01621459.2023.2225742
Journal of the American Statistical Association,2023,Bayesian Nonparametric Common Atoms Regression for Generating Synthetic Controls in Clinical Trials,"Noirrit Kiran Chandra, Abhra Sarkar, John F. de Groot, Ying Yuan and Peter Müller","The availability of electronic health records (EHR) has opened opportunities to supplement increasingly expensive and difficult to carry out randomized controlled trials (RCT) with evidence from readily available real world data. In this article, we use EHR data to construct synthetic control arms for treatment-only single arm trials. We propose a novel nonparametric Bayesian common atoms mixture model that allows us to find equivalent population strata in the EHR and the treatment arm and then resample the EHR data to create equivalent patient populations under both the single arm trial and the resampled EHR. Resampling is implemented via a density-free importance sampling scheme. Using the synthetic control arm, inference for the treatment effect can then be carried out using any method available for RCTs. Alternatively the proposed nonparametric Bayesian model allows straightforward model-based inference. In simulation experiments, the proposed method exhibits higher power than alternative methods in detecting treatment effects, specifically for nonlinear response functions. We apply the method to supplement single arm treatment-only glioblastoma studies with a synthetic control arm based on historical trials. Supplementary materials for this article are available online.",http://hdl.handle.net/10.1080/01621459.2023.2231581
Journal of the American Statistical Association,2023,Understanding Implicit Regularization in Over-Parameterized Single Index Model,"Jianqing Fan, Zhuoran Yang and Mengxin Yu","In this article, we leverage over-parameterization to design regularization-free algorithms for the high-dimensional single index model and provide theoretical guarantees for the induced implicit regularization phenomenon. Specifically, we study both vector and matrix single index models where the link function is nonlinear and unknown, the signal parameter is either a sparse vector or a low-rank symmetric matrix, and the response variable can be heavy-tailed. To gain a better understanding of the role played by implicit regularization without excess technicality, we assume that the distribution of the covariates is known a priori. For both the vector and matrix settings, we construct an over-parameterized least-squares loss function by employing the score function transform and a robust truncation step designed specifically for heavy-tailed data. We propose to estimate the true parameter by applying regularization-free gradient descent to the loss function. When the initialization is close to the origin and the stepsize is sufficiently small, we prove that the obtained solution achieves minimax optimal statistical rates of convergence in both the vector and matrix cases. In addition, our experimental results support our theoretical findings and also demonstrate that our methods empirically outperform classical methods with explicit regularization in terms of both l2-statistical rate and variable selection consistency. Supplementary materials for this article are available online.",http://hdl.handle.net/10.1080/01621459.2022.2044824
Journal of the American Statistical Association,2023,Coordinatewise Gaussianization: Theories and Applications,"Qing Mai, Di He and Hui Zou","In statistical analysis, researchers often perform coordinatewise Gaussianization such that each variable is marginally normal. The normal score transformation is a method for coordinatewise Gaussianization and is widely used in statistics, econometrics, genetics and other areas. However, few studies exist on the theoretical properties of the normal score transformation, especially in high-dimensional problems where the dimension p diverges with the sample size n. In this article, we show that the normal score transformation uniformly converges to its population counterpart even when log p=o(n/ log n). Our result can justify the normal score transformation prior to any downstream statistical method to which the theoretical normal transformation is beneficial. The same results are established for the Winsorized normal transformation, another popular choice for coordinatewise Gaussianization. We demonstrate the benefits of coordinatewise Gaussianization by studying its applications to the Gaussian copula model, the nearest shrunken centroids classifier and distance correlation. The benefits are clearly shown in theory and supported by numerical studies. Moreover, we also point out scenarios where coordinatewise Gaussinization does not help and even causes damages. We offer a general recommendation on how to use coordinatewise Gaussianization in applications. Supplementary materials for this article are available online.",http://hdl.handle.net/10.1080/01621459.2022.2044825
Journal of the American Statistical Association,2023,Marginal and Conditional Multiple Inference for Linear Mixed Model Predictors,"Peter Kramlinger, Tatyana Krivobokova and Stefan Sperlich","In spite of its high practical relevance, cluster specific multiple inference for linear mixed model predictors has hardly been addressed so far. While marginal inference for population parameters is well understood, conditional inference for the cluster specific predictors is more intricate. This work introduces a general framework for multiple inference in linear mixed models for cluster specific predictors. Consistent confidence sets for multiple inference are constructed under both, the marginal and the conditional law. Furthermore, it is shown that, remarkably, corresponding multiple marginal confidence sets are also asymptotically valid for conditional inference. Those lend themselves for testing linear hypotheses using standard quantiles without the need of resampling techniques. All findings are validated in simulations and illustrated along a study on Covid-19 mortality in the U.S. state prisons. Supplementary materials for this article are available online.",http://hdl.handle.net/10.1080/01621459.2022.2044826
Journal of the American Statistical Association,2023,A Zero-Inflated Logistic Normal Multinomial Model for Extracting Microbial Compositions,"Yanyan Zeng, Daolin Pang, Hongyu Zhao and Tao Wang","High throughput sequencing data collected to study the microbiome provide information in the form of relative abundances and should be treated as compositions. Although many approaches including scaling and rarefaction have been proposed for converting raw count data into microbial compositions, most of these methods simply return zero values for zero counts. However, zeros can distort downstream analyses, and they can also pose problems for composition-aware methods. This problem is exacerbated with microbiome abundance data because they are sparse with excessive zeros. In addition to data sparsity, microbial composition estimation depends on other data characteristics such as high dimensionality, over-dispersion, and complex co-occurrence relationships. To address these challenges, we introduce a zero-inflated probabilistic PCA (ZIPPCA) model that accounts for the compositional nature of microbiome data, and propose an empirical Bayes approach to estimate microbial compositions. An efficient iterative algorithm, called classification variational approximation, is developed for carrying out maximum likelihood estimation. Moreover, we study the consistency and asymptotic normality of variational approximation estimator from the perspective of profile M-estimation. Extensive simulations and an application to a dataset from the Human Microbiome Project are presented to compare the performance of the proposed method with that of the existing methods. The method is implemented in R and available at https://github.com/YanyZeng/ZIPPCAlnm. Supplementary materials for this article are available online.",http://hdl.handle.net/10.1080/01621459.2022.2044827
Journal of the American Statistical Association,2023,Toward Better Practice of Covariate Adjustment in Analyzing Randomized Clinical Trials,"Ting Ye, Jun Shao, Yanyao Yi and Qingyuan Zhao","In randomized clinical trials, adjustments for baseline covariates at both design and analysis stages are highly encouraged by regulatory agencies. A recent trend is to use a model-assisted approach for covariate adjustment to gain credibility and efficiency while producing asymptotically valid inference even when the model is incorrect. In this article we present three considerations for better practice when model-assisted inference is applied to adjust for covariates under simple or covariate-adaptive randomized trials: (a) guaranteed efficiency gain: a model-assisted method should often gain but never hurt efficiency; (b) wide applicability: a valid procedure should be applicable, and preferably universally applicable, to all commonly used randomization schemes; (c) robust standard error: variance estimation should be robust to model misspecification and heteroscedasticity. To achieve these, we recommend a model-assisted estimator under an analysis of heterogeneous covariance working model that includes all covariates used in randomization. Our conclusions are based on an asymptotic theory that provides a clear picture of how covariate-adaptive randomization and regression adjustment alter statistical efficiency. Our theory is more general than the existing ones in terms of studying arbitrary functions of response means (including linear contrasts, ratios, and odds ratios), multiple arms, guaranteed efficiency gain, optimality, and universal applicability. Supplementary materials for this article are available online.",http://hdl.handle.net/10.1080/01621459.2022.2049278
Journal of the American Statistical Association,2023,Sparse Reduced Rank Huber Regression in High Dimensions,"Kean Ming Tan, Qiang Sun and Daniela Witten","We propose a sparse reduced rank Huber regression for analyzing large and complex high-dimensional data with heavy-tailed random noise. The proposed method is based on a convex relaxation of a rank- and sparsity-constrained nonconvex optimization problem, which is then solved using a block coordinate descent and an alternating direction method of multipliers algorithm. We establish nonasymptotic estimation error bounds under both Frobenius and nuclear norms in the high-dimensional setting. This is a major contribution over existing results in reduced rank regression, which mainly focus on rank selection and prediction consistency. Our theoretical results quantify the tradeoff between heavy-tailedness of the random noise and statistical bias. For random noise with bounded (1+δ)th moment with δ∈(0,1), the rate of convergence is a function of δ, and is slower than the sub-Gaussian-type deviation bounds; for random noise with bounded second moment, we obtain a rate of convergence as if sub-Gaussian noise were assumed. We illustrate the performance of the proposed method via extensive numerical studies and a data application. Supplementary materials for this article are available online.",http://hdl.handle.net/10.1080/01621459.2022.2050243
Journal of the American Statistical Association,2023,Robust Estimation of Large Panels with Factor Structures,Marco Avarucci and Paolo Zaffaroni,"This article studies estimation of linear panel regression models with heterogeneous coefficients using a class of weighted least squares estimators, when both the regressors and the error possibly contain a common latent factor structure. Our theory is robust to the specification of such a factor structure because it does not require any information on the number of factors or estimation of the factor structure itself. Moreover, our theory is efficient, in certain circumstances, because it nests the GLS principle. We first show how our unfeasible weighted-estimator provides a bias-adjusted estimator with the conventional limiting distribution, for situations in which the OLS is affected by a first-order bias. The technical challenge resolved in the article consists of showing how these properties are preserved for the feasible weighted estimator in a double-asymptotics setting. Our theory is illustrated by extensive Monte Carlo experiments and an empirical application that investigates the link between capital accumulation and economic growth in an international setting. Supplementary materials for this article are available online.",http://hdl.handle.net/10.1080/01621459.2022.2050244
Journal of the American Statistical Association,2023,Survival Analysis via Ordinary Differential Equations,"Weijing Tang, Kevin He, Gongjun Xu and Ji Zhu","This article introduces an Ordinary Differential Equation (ODE) notion for survival analysis. The ODE notion not only provides a unified modeling framework, but more importantly, also enables the development of a widely applicable, scalable, and easy-to-implement procedure for estimation and inference. Specifically, the ODE modeling framework unifies many existing survival models, such as the proportional hazards model, the linear transformation model, the accelerated failure time model, and the time-varying coefficient model as special cases. The generality of the proposed framework serves as the foundation of a widely applicable estimation procedure. As an illustrative example, we develop a sieve maximum likelihood estimator for a general semiparametric class of ODE models. In comparison to existing estimation methods, the proposed procedure has advantages in terms of computational scalability and numerical stability. Moreover, to address unique theoretical challenges induced by the ODE notion, we establish a new general sieve M-theorem for bundled parameters and show that the proposed sieve estimator is consistent and asymptotically normal, and achieves the semiparametric efficiency bound. The finite sample performance of the proposed estimator is examined in simulation studies and a real-world data example. Supplementary materials for this article are available online.",http://hdl.handle.net/10.1080/01621459.2022.2051519
