journal,year,title,authors,abstract,url
The Quarterly Journal of Economics,2025,Manufacturing Revolutions: Industrial Policy and Industrialization in South Korea*,Nathan Lane,"I study the effect of industrial policies on industrial development by considering an important episode during the East Asian miracle: South Korea’s heavy and chemical industry (HCI) drive, 1973–1979. Based on newly assembled data, I use the introduction and termination of industrial policies to study their effects during and after the intervention period. I reveal that HCI policies promoted the expansion and dynamic comparative advantage of directly targeted industries. Using variation in exposure to policies through the input-output network, I demonstrate that the policy indirectly benefited downstream users of targeted intermediates. The benefits of HCI persisted even after the policy ended, and some results took time to materialize. The findings suggest that the temporary drive shifted Korean manufacturing into more advanced markets and supported durable change. This study helps clarify the lessons drawn from the East Asian growth miracle.",http://hdl.handle.net/10.1093/qje/qjaf025
The Quarterly Journal of Economics,2025,Systemic Discrimination: Theory and Measurement*,"J Aislinn Bohren, Peter Hull and Alex Imas","Economists often measure discrimination as disparities arising from the direct effects of group identity. We develop new tools to model and measure systemic discrimination, capturing how discrimination in other decisions indirectly contributes to disparities. A novel experimental design, the iterated audit, identifies systemic discrimination. We illustrate these new tools in two field experiments. The first experiment shows how racial discrimination can accumulate across multiple rounds of hiring through the interaction of two forces: greater discrimination against inexperienced workers, which affects the opportunity to obtain experience, and high subsequent returns to experience. The second experiment shows how gender-based differences in the language of recommendation letters can translate into systemic gender discrimination in STEM hiring. We discuss how our findings qualify previous results on direct discrimination and how our tools can be used to target policy interventions.",http://hdl.handle.net/10.1093/qje/qjaf022
The Quarterly Journal of Economics,2025,Structural Estimation Under Misspecification: Theory and Implications for Practice*,"Isaiah Andrews, Nano Barahona, Matthew Gentzkow, Ashesh Rambachan and Jesse Shapiro","A researcher can use a tightly parameterized structural model to obtain internally consistent estimates of a wide range of economically interesting targets. We ask how reliable these estimates are when the researcher’s model may be misspecified. We focus on the case of multivariate, potentially nonlinear models where the causal variable of interest is endogenous. Reliable estimates require that the researcher’s model is flexible enough to describe the effects of the endogenous variable approximately correctly. Reliable estimates do not require that the researcher has correctly specified the role of the exogenous controls in the model. However, if the role of the controls is misspecified, reliable estimates require a property we call strong exclusion. Strong exclusion depends on having sufficiently many instruments that are unrelated to the controls. We discuss how practitioners can achieve strong exclusion, and illustrate our findings with an application to a differentiated goods model of demand for beer.",http://hdl.handle.net/10.1093/qje/qjaf018
The Quarterly Journal of Economics,2025,"The Race Between Education, Technology, and the Minimum Wage*",Jonathan Vogel,What is the effect of the real minimum wage on wages and inequality? I develop a theory that nests the race between education and technology. The theory predicts that the effect of changes in minimum wages is initially small but grows over time. I present empirical evidence of these dynamic effects: the elasticity of real wages grows substantially over a three-year period. I show that minimum wages help rationalize a considerable decline in real wages of low-education workers in the 1980s and play a role in shaping the evolution of the U.S. college premium.,http://hdl.handle.net/10.1093/qje/qjaf014
The Quarterly Journal of Economics,2025,Voluntary Minimum Wages: The Local Labor Market Effects of National Retailer Policies*,Ellora Derenoncourt and David Weil,"Low unionization rates, a falling real federal minimum wage, and outsourcing have hampered wage growth in the low-wage sector in the United States for several decades. In recent years (2014–2023), a number of large private retailers—including some of the largest employers in the United States—have opted to institute or raise company-wide, voluntary minimum wages (VMWs) for their employees. We use anonymized payroll data from a large credit bureau and a major payroll provider to study the effects of these national retailer policies on adopting employers’ own wages and employment as well as their spillovers to other employers in shared local labor markets, variously defined. Using stacked event studies centered around multiple VMW events and a continuous treatment variable defined as the gap between local-area wages and the company minimum, we find that VMWs result in sizable wage increases and reductions in turnover at the companies that implement them. Turning to wages at other companies, we estimate small, often economically negligible, spillover effects across multiple measures of exposure to VMWs and numerous definitions of relevant competitors, including firms connected by worker flows. Together, the evidence points to little role for strategic interactions in the transmission of large retailers’ wage policies to other firms. Voluntary minimum wage policies have affected over 3 million jobs at adopting employers, yet their impact on the broader labor market is limited.",http://hdl.handle.net/10.1093/qje/qjaf016
The Quarterly Journal of Economics,2025,A Monetary-Fiscal Theory of Sudden Inflations*,Marco Bassetto and David Miller,"This article posits an information channel as an explanation for sudden inflations. Households saving via nominal government bonds face a choice whether to acquire costly information about future government surpluses. They trade off the cost of acquiring information about the surpluses that back bond repayment against the benefit of a more informed saving decision. Through the information channel, small changes in the economic environment can trigger large responses in consumer behavior and prices. This setting explains why there can be long stretches of time during which government surpluses have large movements with little inflation response; then at some point, something snaps, and a sudden inflation takes off that is strongly responsive to incoming fiscal news.",http://hdl.handle.net/10.1093/qje/qjaf012
The Quarterly Journal of Economics,2025,Micro MPCs and Macro Counterfactuals: The Case of the 2008 Rebates*,"Jacob D Orchard, Valerie Ramey and Johannes F Wieland","We present evidence that the high estimated marginal propensities to consume (MPCs) from the leading household studies result in implausible macroeconomic counterfactuals. Using the 2008 tax rebate as a case study, we calibrate a standard macro model with the estimated micro MPCs to construct counterfactual macroeconomic consumption paths in the absence of a rebate. The counterfactual paths imply that consumption expenditures would have plummeted in spring and summer 2008 and mostly recovered in September 2008. We use narratives and forecasts to argue that these paths are implausible. We show that standard two-way fixed effect estimates of the micro MPCs are upward biased. When we correct for the biases, we estimate smaller micro MPCs using the CEX data than the previous literature. We show that realistic modifications of the model result in general equilibrium forces that dampen rather than amplify micro MPCs. The combination of smaller micro MPCs and dampening general equilibrium forces implies general equilibrium consumption multipliers that are below 0.2.",http://hdl.handle.net/10.1093/qje/qjaf015
The Quarterly Journal of Economics,2025,Collective Bargaining for Women: How Unions Can Create Female-Friendly Jobs*,"Viola Corradini, Lorenzo Lagos and Garima Sharma","We study the role of unions in improving workplaces for women. Starting in 2015, Brazil’s largest trade union federation made women central to its agenda. Using a difference-in-differences design that leverages variation in union affiliation to this federation, we find that “bargaining for women” increased female-friendly amenities in collective bargaining agreements and in practice. These changes led women to queue for jobs at treated establishments and separate from them less—both revealed-preference measures of firm value. We find no evidence that gains came at the expense of wages, employment, or firm profits. Better amenities instead reduced turnover and absenteeism, suggesting greater worker satisfaction and effort. Larger improvements occurred where women initially composed a lower share of workers or union leaders. Our findings show that shifting union priorities toward women improved workplaces without meaningful trade-offs and benefited both workers and employers. They illustrate the potential for unions to improve workplace quality by focusing on the needs of less represented workers.",http://hdl.handle.net/10.1093/qje/qjaf024
The Quarterly Journal of Economics,2025,Revealed Beliefs and the Marriage Market Return to Education*,Alison Andrew and Abi Adams,"We develop a new methodology to estimate subjective beliefs from hypothetical-choice data. Our identification approach is based on the novel insight that by varying the amount of information on future realizations of stochastic variables, discrete-choice experiments can identify not only preferences but also subjective beliefs. We formally prove this result in a general setting and apply it to design a strategic survey instrument to measure Rajasthani parents’ subjective beliefs over the joint distribution of girls’ age of marriage, education, and marriage match quality. Our approach allows us to quantify the importance of perceived marriage market returns to education and youth, and perform various counterfactual simulation exercises. We find that eliminating the perceived marriage market return to education causes a 60% drop in the number of girls still in school at age 16, and almost none continue their education by age 18. Responses to our strategic survey instrument allow us accurately to predict realized schooling trajectories in follow-up data we collect from the same sample five years after our experimental data collection.",http://hdl.handle.net/10.1093/qje/qjaf020
The Quarterly Journal of Economics,2025,The Optimal Taxation of Couples*,Mikhail Golosov and Ilia Krasikov,"We study optimal nonlinear taxation of single and married households. Taxes on couples depend on the earnings of both spouses and are an example of multidimensional tax schedules. We develop novel analytical techniques to study properties of such taxes. We show that the optimal marginal taxes for married individuals are generally lower than for single individuals because resource sharing in couples provides socially valuable redistribution. Under realistic assumptions, the optimal tax rates for married individuals increase with the correlation of spousal earnings, the marginal tax rates for one spouse increase (decrease) in the earnings of the other if both spouses have low (high) earnings, and the primary earner faces lower marginal taxes than the secondary earner.",http://hdl.handle.net/10.1093/qje/qjaf021
