journal,year,title,authors,abstract,url
The Review of Economic Studies,2025,Who Are the Hand-to-Mouth?,"Mark Aguiar, Mark Bils and Corina Boar","Many households hold little wealth. In standard precautionary savings models, these households should not only display higher marginal propensities to consume (MPCs) but also higher future consumption growth. In contrast, we see from the Panel Study of Income Dynamics that such “hand-to-mouth” households do not display higher growth in spending. They also exhibit greater volatility of spending and adjust their spending to a greater extent through the number of categories consumed. Consistent with a role for preference heterogeneity, the panel data show that it is persistent differences across households, not current assets, that predict low consumption growth and other spending differences for the hand-to-mouth households. To identify the extent of preference heterogeneity, we consider the model of Kaplan and Violante with both liquid and illiquid assets, but allow heterogeneity in preferences. To match the data, many poor hand-to-mouth must be relatively impatient and have a high inter-temporal elasticity of substitution. The model shows that preferences predominantly explain the higher MPCs for low-asset households. Preference heterogeneity notably increases the spending impact of fiscal transfers, but only if targeted, while reducing that from interest rate cuts.",http://hdl.handle.net/10.1093/restud/rdae056
The Review of Economic Studies,2025,Expectations and Learning from Prices,Francesca Bastianello and Paul Fontanier,"We study mislearning from equilibrium prices, and contrast this with mislearning from exogenous fundamentals. We micro-found mislearning from prices with a psychologically founded theory of “Partial Equilibrium Thinking” (PET), where traders learn fundamental information from prices, but fail to realize others do so too. PET leads to over-reaction, and upward sloping demand curves, thus contributing to more inelastic markets. The degree of individual-level over-reaction and the extent of inelasticity vary with the composition of traders, and with the informativeness of new information. More generally, unlike mislearning from fundamentals, mislearning from prices (i) generates a two-way feedback between prices and beliefs that can provide an arbitrarily large amount of amplification and (ii) can rationalize both over-reaction and more inelastic markets. The two classes of biases are not mutually exclusive. Instead, they interact in very natural ways, and mislearning from prices can vastly amplify mislearning from fundamentals.",http://hdl.handle.net/10.1093/restud/rdae059
The Review of Economic Studies,2025,Survey Data and Subjective Beliefs in Business Cycle Models,"Anmol Bhandari, Jaroslav Borovička and Paul Ho","This paper develops a theory of subjective beliefs that departs from rational expectations, and shows that biases in household beliefs have quantitatively large effects on macroeconomic aggregates. The departures are formalized using model-consistent notions of pessimism and optimism which are supported by extensive time-series and cross-sectional evidence from household surveys. The role subjective beliefs play in aggregate fluctuations is quantified in a business cycle model with goods and labour market frictions. Consistent with the survey evidence, an increase in pessimism generates upward biases in unemployment and inflation forecasts and lowers economic activity. The underlying belief distortions reduce aggregate demand and propagate through frictional goods and labour markets. As a by-product of the analysis, solution techniques that preserve the effects of time-varying belief distortions in the class of linear solutions are developed.",http://hdl.handle.net/10.1093/restud/rdae054
The Review of Economic Studies,2025,Job Applications and Labour Market Flows,"Serdar Birinci, Kurt See and Shu Lin Wee","Job applications have risen over time, yet job-finding rates remain unchanged. Meanwhile, separations have declined. We argue that increased applications raise the probability of a good match rather than the probability of job-finding. Using a search model with multiple applications and costly information, we show that when applications increase, firms invest in identifying good matches, reducing separations. Concurrently, increased congestion and selectivity over which offer to accept temper increases in job-finding rates. Our framework contains testable implications for changes in offers, acceptances, reservation wages, applicants per vacancy, and tenure, objects that enable it to generate the trends in unemployment flows.",http://hdl.handle.net/10.1093/restud/rdae064
The Review of Economic Studies,2025,Gang Rule: Understanding and Countering Criminal Governance,"Christopher Blattman, Gustavo Duncan, Benjamin Lessing and Santiago Tobon","Criminal groups govern millions worldwide. Even in strong states, gangs resolve disputes and provide security. Why do these duopolies of coercion emerge? Often, gangs fill vacuums of official power, suggesting that increasing state presence should crowd out criminal governance. We show, however, that state and gang rule can be strategic complements. In particular, gangs could minimize seizures and arrests by keeping neighbourhoods orderly and loyal. If true, increasing state presence could increase incentives for gang rule. In Medellín, Colombia, criminal leaders told us they rule to protect drug rents from police. We test gang responses to state presence using a geographic discontinuity. Internal border changes in 1987 assigned blocks to be closer or further from state security for three decades. Gangs exogenously closer to state presence developed more governance over time. They primarily did so in neighbourhoods with the greatest potential drug rents. This suggests new strategies for countering criminal governance.",http://hdl.handle.net/10.1093/restud/rdae079
The Review of Economic Studies,2025,"Imagining the Future: Memory, Simulation, and Beliefs","Pedro Bordalo, Giovanni Burro, Katherine Coffman, Nicola Gennaioli and Andrei Shleifer","How do people form beliefs about novel risks, with which they have little or no experience? Motivated by survey data on beliefs about COVID we collected in 2020, we build a model based on the psychology of selective memory. When a person thinks about an event, different experiences compete for retrieval, and retrieved experiences are used to simulate the event based on how similar they are to it. The model predicts that different experiences interfere with each other in recall and that non-domain-specific experiences can bias beliefs based on their similarity to the assessed event. We test these predictions using data from our COVID survey and from a primed-recall experiment about cyberattack risk. In line with our theory of similarity-based retrieval and simulation, experiences and their measured similarity to the cued event help account for experience effects, priming effects, and the interaction of the two in shaping beliefs.",http://hdl.handle.net/10.1093/restud/rdae070
The Review of Economic Studies,2025,Inflation Levels and (In)Attention,Anat Bracha and Jenny Tang,"Inflation expectations are key determinants of economic activity and are central to the current policy debate about whether inflation expectations will remain anchored in the face of recent pandemic-related increases in inflation. This article explores evidence of inattention by constructing two novel and direct measures of consumers’ inattention, and documents greater attention when inflation is high. This relationship can explain a substantial portion of the flattening of the Phillips curve and also suggests the possibility of upward attention-price spirals.",http://hdl.handle.net/10.1093/restud/rdae063
The Review of Economic Studies,2025,"Market Structure and Extortion: Evidence from 50,000 Extortion Payments","Zach Y Brown, Eduardo Montero, Carlos Schmidt-Padilla and Maria Micaela Sviatschi","How does gang competition affect extortion? Using detailed data on individual extortion payments to gangs and sales from a leading wholesale distributor of consumer goods and pharmaceuticals in El Salvador, we document evidence on the determinants of extortion payments and the effects of extortion on firms and consumers. We exploit a 2016 non-aggression pact between gangs to examine how collusion affects extortion in areas where gangs previously competed. While the pact led to a large reduction in competition and violence, we find that it increased the amount paid in extortion by approximately 20%. Much of this increase was passed through to retailers and consumers: retailers experienced an increase in delivery fees, leading to an increase in consumer prices. In particular, we find an increase in prices for pharmaceutical drugs and a corresponding increase in hospital visits for chronic illnesses. The results point to an unintended consequence of policies that reduce competition between criminal organisations.",http://hdl.handle.net/10.1093/restud/rdae057
The Review of Economic Studies,2025,Does Pricing Carbon Mitigate Climate Change? Firm-Level Evidence from the European Union Emissions Trading System,"Jonathan Colmer, Ralf Martin, Mirabelle Muûls and Ulrich Wagner","In theory, market-based regulatory instruments correct market failures at least cost. However, evidence on their efficacy remains scarce. Using administrative data, we estimate that, on average, the European Union Emissions Trading System (EU ETS)—the world’s first and largest market-based climate policy—induced regulated manufacturing firms to reduce carbon dioxide emissions by 14–16% with no detectable contractions in economic activity. We find no evidence of outsourcing to unregulated firms or markets; instead, firms made targeted investments, reducing the emissions intensity of production. These results indicate that the EU ETS induced global emissions reductions, a necessary and sufficient condition for mitigating climate change. We show that the absence of any negative economic effects can be rationalized in a model where pricing the externality induces firms to make fixed-cost investments in energy-saving capital that reduce marginal variable costs.",http://hdl.handle.net/10.1093/restud/rdae055
The Review of Economic Studies,2025,Employer Credit Checks: Poverty Traps Versus Matching Efficiency,Dean Corbae and Andrew Glover,"We develop a framework to understand pre-employment credit screening as a signal from credit markets that alleviates adverse selection in labour markets. In our theory, people differ in both their propensity to default on debt and the profits they create for firms that employ them; in our calibrated economy, highly productive workers have a low default probability. This leads firms to create more jobs for those with good credit, which creates a poverty trap: an unemployed worker with poor credit has a low job finding rate, but cannot improve her credit without a job. This manifests as an endogenous loss in present-discounted wages that is typically taken as exogenous in quantitative models of consumer default. Banning employer credit checks eliminates the poverty trap, but pools job seekers and reduces matching efficiency: average unemployment duration rises by 2 days for high productivity workers and falls by 13 days for low-productivity workers.",http://hdl.handle.net/10.1093/restud/rdae095
