journal,year,title,authors,abstract,url
The Review of Economics and Statistics,2026,"Exporting, Global Sourcing, and Multinational Activity: Theory and Evidence from the United States","Pol Antràs, Evgenii Fadeev, Teresa C. Fort and Felix Tintelnot","Multinational firms (MNEs) dominate trade flows, yet their foreign production decisions are often ignored in firm-level studies of exporting and importing. Using newly merged data on U.S. firms' trade and global production, we show that MNEs are more likely to trade with countries that are proximate to their affiliates. We rationalize these patterns with a new source of firm-level scale economies that arises when fixed costs to source from, or sell in, a market are shared across the MNE's plants. These shared fixed costs create interdependencies between firms' production and trade locations that generate third-market responses to trade policy changes.",https://doi.org/10.1162/rest_a_01450
The Review of Economics and Statistics,2026,Hindsight Bias and Trust in Government,"Holger Herz, Deborah Kistler, Christian Zehnder and Christian Zihlmann","We empirically assess whether hindsight bias affects citizens' evaluation of their political actors. Using an incentivized elicitation technique, we demonstrate that people systematically misremember their past policy preferences regarding how to best fight the COVID-19 pandemic. At the peak of the first wave in the United States, the average respondent mistakenly believed that they supported significantly stricter restrictions at the onset of the first wave than they actually did. Exogenous variation in the extent of hindsight bias, induced through a randomized survey experiment, indicates that hindsight bias has a negative causal impact on the change in trust in government.",https://doi.org/10.1162/rest_a_01421
The Review of Economics and Statistics,2026,The Unintended Consequences of Infrastructure Development,Antonella Bancalari,"I investigate the social costs imposed by poor implementation of public infrastructure. Focusing on the period from 2005 to 2015 in Peru, when the government embarked on a nationwide initiative to expand sewerage systems, I leverage quasirandom variation in initiation of the implementation phase. By combining several sources of administrative data, I find that infrastructure development increased infant and under-5 mortality. These effects are driven by health and safety hazards associated with construction work, leading to increased deaths from accidents and waterborne diseases. The severity of these effects is more pronounced in areas where construction activity was more intense.",https://doi.org/10.1162/rest_a_01425
The Review of Economics and Statistics,2026,What's Missing in Environmental Self-Monitoring: Evidence from Strategic Shutdowns of Pollution Monitors,"Yingfei Mu, Edward Rubin and Eric Yongchen Zou","Regulators often rely on regulated entities to self-monitor compliance, creating strategic incentives for endogenous monitoring. This paper builds a framework to detect whether local governments skip air pollution monitoring when they expect air quality to deteriorate. The core of our method tests whether the timing of monitor shutdowns coincides with the counties' air quality alerts—public advisories based on local governments' own pollution forecasts. Applying the method to a monitor in Jersey City, New Jersey, suspected of a deliberate shutdown during the 2013 ""Bridgegate"" traffic jam, we find a 33% reduction of this monitor's sampling rate on pollution-alert days. Building on large-scale inference tools, we then apply the method to test more than 1,300 monitors across the United States, finding fourteen metropolitan areas with clusters of monitors showing similar strategic behavior. We assess geometric imputation and remote-sensing technologies as potential solutions to deter future strategic monitoring.",https://doi.org/10.1162/rest_a_01477
The Review of Economics and Statistics,2026,Examining Selection Pressures in the Publication Process through the Lens of Sniff Tests,Christopher M. Snyder and Ran Zhuo,"Economics papers increasingly report balance, pretrend, placebo, and other ""sniff tests,"" rejection of which is bad news for authors, undermining the credibility of their main results. We derive nonparametric bounds on the latent proportion of significant sniff tests removed by the publication process (whether by p-hacking or relegation to the file drawer) and the proportion whose significance was due to true misspecification, not bad luck. Using a hand-collected sample of nearly 30,000 sniff tests, we estimate a removal rate of more than 30% for balance tests in randomized controlled trials and a misspecification rate of more than 40% for other tests.",https://doi.org/10.1162/rest_a_01410
The Review of Economics and Statistics,2026,Stimulus on the Home Front: The State-Level Effects of WWII Spending,Gillian Brunet,"I use newly digitized contract data on U.S. war production spending over 1940–1945 to analyze the macroeconomic effects of U.S. military spending in World War II. I find personal income multipliers of 0.34 over two years and 0.49 over three years. Personal income multipliers may substantially understate gross domestic product multipliers, perhaps by as much as 50%. Employment estimates imply costs per job-year over the same time horizons of $405,013 and $232,268 in 2015 dollars, suggesting job creation was limited. I also find evidence of negative scale effects: larger positive spending shocks are associated with systematically smaller multiplier estimates.",https://doi.org/10.1162/rest_a_01432
The Review of Economics and Statistics,2026,The Effect of the Prior Teacher on Value-Added,Michael Gilraine and Odhrain McCarthy,"We show that teachers' value added (VA) depends on the VA of the teachers who preceded them. To do so, we use administrative data from North Carolina and find that a one-standard deviation increase in last grade's mean teacher VA causes a 0.08σ decrease in teacher VA. Controlling for prior teacher assignment eliminates this bias. Under a benchmark policy that releases teachers in the bottom 5% of the VA distribution, 32% of teachers are incorrectly released using traditional techniques. Our results highlight the importance of incorporating dynamic features of education production into the estimation of teacher quality.",https://doi.org/10.1162/rest_a_01409
The Review of Economics and Statistics,2026,"Public School Funding, School Quality, and Adult Crime","E. Jason Baron, Joshua Hyman and Brittany Vasquez","This paper asks whether increasing public school funding can be an effective long-run crime-prevention strategy in the United States. Specifically, we examine the effect of increases in funding early in children's lives on the likelihood that they are arrested as adults. We exploit quasi-experimental variation in public school funding, leveraging two natural experiments in Michigan and a novel administrative data set linking the universe of Michigan public school students to adult criminal justice records. The first research design exploits variation in operating expenditures due to Michigan's 1994 school finance reform, Proposal A. The second design exploits variation in capital spending by leveraging close school district capital bond elections in a regression discontinuity framework. In both cases, we find that students exposed to additional funding during elementary school were substantially less likely to be arrested in adulthood. We show that the social benefits of increasing school funding are greater than the costs, even when considering only the crime-reducing benefits.",https://doi.org/10.1162/rest_a_01452
The Review of Economics and Statistics,2026,Aid Fragmentation and Corruption,"Travers B. Child, Austin L. Wright and Yun Xiao","Aid fragmentation—the simultaneous operation of multiple development agencies in one setting—has long raised concerns about coordination challenges and opportunities for corruption. Leveraging unique data on project delivery in Afghanistan, we present the first microlevel empirical analysis of aid fragmentation. We find that aid delivered by a single donor can significantly reduce corruption. Projects delivered under conditions of aid fragmentation, by contrast, can facilitate corruption. We find evidence for a theoretical mechanism linking infrastructure and physical goods with waste and leakage. Our results clarify the policy losses tied to fragmentation, yielding insights for combating misappropriation of aid.",https://doi.org/10.1162/rest_a_01458
The Review of Economics and Statistics,2026,How Big Is the Media Multiplier? Evidence from Dyadic News Data,"Timothy Besley, Thiemo Fetzer and Hannes Mueller","This paper estimates the size of the media multiplier, an easily generalizable model-based measure of how far media coverage magnifies the economic response to shocks. We combine monthly aggregated and anonymized credit card activity data from 114 card-issuing countries in 5 destination countries with a large corpus of news coverage in issuing countries reporting on violent events in the destinations. To define and quantify the media multiplier, we estimate a model in which latent beliefs, shaped by either events or news coverage, drive card activity. According to the model, media coverage can more than triple the economic impact of an event. We document, through our model, that this effect is highly heterogeneous and depends on the broader media representation of countries in each other's news. We speculate about the role of the media in driving international travel patterns.",https://doi.org/10.1162/rest_a_01415
